"borough","closuretype","editdate","featuretype","propid","propname","propnum","sitename","status","point","approx_date_closed","approx_date_reopened"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X092-ZN06","Van Cortlandt Park","X092","Parade Ground North","Active","POINT (-73.89518810082029 40.89669860961489)",,
"Q","Completely Locked","2020-06-21T19:27:22.000","Exercise Equipment","Q335","Russell Sage Playground","Q335","Russell Sage Playground","Reopened","POINT (-73.85147543218127 40.72377497907376)","2020-04-11T18:19:53.000","2020-06-21T10:00:00.000"
"B","Completely Locked","2020-06-22T15:21:34.000","Exercise Equipment","B286","Bartlett Playground","B286","Bartlett Playground","Reopened","POINT (-73.94609574490927 40.700900415281815)","2020-04-10T11:37:33.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B252","West Playground","B252","West Playground","Active","POINT (-73.9700708438389 40.587083923038584)",,
"B","Completely Locked","2020-04-10T12:36:38.000","Exercise Equipment","B126-01","Red Hook Recreation Area","B126","Bush Clinton Park","Active","POINT (-74.00341580316582 40.673707906264795)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B061","McLaughlin Park","B061","McLaughlin Park","Active","POINT (-73.98604714243562 40.69651482506602)",,
"Q","Completely Locked","2020-06-21T19:53:34.000","Exercise Equipment","Q471-01","Hunter's Point South Park","Q471","Hunter's Point South Playground (North)","Reopened","POINT (-73.96039842397131 40.74296030861427)","2020-04-11T17:47:53.000","2020-06-21T13:00:00.000"
"X","Temporary Fencing","2020-06-22T10:09:37.000","Exercise Equipment","X010-06","Crotona Park","X010","Boxcar Plgd (6)","Reopened","POINT (-73.89272961753181 40.83694779937765)","2020-04-15T10:11:38.000","2020-06-21T00:00:00.000"
"R","Completely Locked","2020-06-22T16:54:45.000","Exercise Equipment","R035","De Matti Park","R035","De Matti Park","Reopened","POINT (-74.07418481018179 40.61453272435435)","2020-04-09T15:20:54.000","2020-06-22T16:54:43.000"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X002-ZN05B","Bronx Park","X002","Bronx River Parkway East (North Half)","Active","POINT (-73.86371190616926 40.890929073334604)",,
"Q","Completely Locked","2020-06-23T09:24:32.000","Exercise Equipment","Q366","Louis C. Moser Playground","Q366","Louis C. Moser Playground","Reopened","POINT (-73.89223437689381 40.76310686180755)","2020-04-11T17:56:10.000","2020-06-23T09:24:31.000"
"X","Temporary Fencing","2020-06-22T09:35:21.000","Exercise Equipment","X045-ZN01","St. Mary's Park","X045","St Mary's Park Zone 1","Reopened","POINT (-73.91119885443668 40.81027476384587)","2020-04-10T10:04:47.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B066-01","Owl's Head Park","B066","Owls Head Park","Active","POINT (-74.03013614141982 40.640347469698526)",,
"M",,"2020-04-14T15:44:11.000","Exercise Equipment","M164","Asser Levy Playground","M164","Asser Levy Playground","Active","POINT (-73.97561547247632 40.7364424259224)",,
"M","Completely Locked","2020-06-29T11:02:12.000","Exercise Equipment","M037-04","Highbridge Park","M037","Wallenberg Plgd","Reopened","POINT (-73.9268989214219 40.852912956056535)","2020-04-10T12:53:36.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B032-ZN01","Fort Greene Park","B032","Fort Greene Park Zone 1","Active","POINT (-73.97571514180618 40.69260838010291)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B223DA","Adam Yauch Park","B223DA","Adam Yauch Park","Active","POINT (-73.99914590630208 40.69209837983132)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B057-ZN02","Marine Park","B057","Marine Park Zone 2","Active","POINT (-73.93246441046279 40.60576617755163)",,
"X","Temporary Fencing","2020-06-22T09:41:11.000","Exercise Equipment","X030-ZN01","Macombs Dam Park","X030","Macombs Dam Park Zone 1 Upper","Reopened","POINT (-73.9293295606938 40.82796512810487)","2020-04-09T15:49:04.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-21T19:49:34.000","Exercise Equipment","Q421","Walter Ward Playground","Q421","Walter Ward Playground","Reopened","POINT (-73.84369011434538 40.65742268152678)","2020-04-11T18:49:16.000","2020-06-21T14:30:00.000"
"Q",,"2020-06-19T13:24:06.000","Exercise Equipment","Q015-ZN04","Forest Park","Q015","Victory Field","Reopened","POINT (-73.85339787369942 40.70146025735233)",,"2020-06-19T13:15:00.000"
"B","Completely Locked","2020-06-23T14:57:29.000","Exercise Equipment","B254","Wingate Park","B254","Wingate Park","Reopened","POINT (-73.94419925957446 40.65856952010346)","2020-04-10T12:57:42.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-23T11:45:24.000","Exercise Equipment","Q333","Ravenswood Playground","Q333","Ravenswood Playground","Reopened","POINT (-73.93534261177533 40.76260794158629)","2020-04-11T13:21:47.000","2020-06-23T11:45:22.000"
"Q","Completely Locked","2020-06-21T19:12:37.000","Exercise Equipment","Q102-03","Juniper Valley Park","Q102","Juniper South Playground","Reopened","POINT (-73.88290170159917 40.7184094759978)","2020-04-11T18:19:33.000","2020-06-21T19:12:34.000"
"X","Blocked with Barricade","2020-06-22T10:52:11.000","Exercise Equipment","X002-05A","Bronx Park","X002","Waring Plgd","Reopened","POINT (-73.87145330242689 40.86048983194159)","2020-04-10T14:20:42.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T10:02:57.000","Exercise Equipment","X211","Stebbins Playground","X211","Stebbins Playground","Reopened","POINT (-73.89851728719871 40.82276733076664)","2020-04-10T10:12:26.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T15:12:01.000","Exercise Equipment","B167","La Guardia Playground","B167","La Guardia Playground","Reopened","POINT (-73.9597482247474 40.71045464988789)","2020-04-10T11:36:57.000","2020-06-21T00:00:00.000"
"B","Partially Locked","2020-06-22T14:14:12.000","Exercise Equipment","B088-02","Herbert Von King Park","B088","Herbert Von King Park","Reopened","POINT (-73.94588134503036 40.68952450560375)","2020-04-10T12:00:22.000","2020-06-22T00:00:00.000"
"X","Partially Locked","2020-06-22T11:01:08.000","Exercise Equipment","X262","Harding Park","X262","Harding Park","Reopened","POINT (-73.85660599548011 40.80930852852363)","2020-04-10T15:10:20.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-07-07T14:55:15.000","Exercise Equipment","M200","Booker T. Washington Playground","M200","Booker T. Washington Playground","Reopened","POINT (-73.96376749365731 40.80094406070667)","2020-04-09T15:22:59.000","2020-07-06T00:00:00.000"
"Q","Blocked with Barricade","2020-06-21T19:49:34.000","Exercise Equipment","Q092","Police Officer Edward Byrne Park","Q092","Police Officer Edward Byrne Park","Reopened","POINT (-73.80744201010107 40.66733920075452)","2020-04-11T18:51:13.000","2020-06-21T14:30:00.000"
"B","Completely Locked","2020-06-22T12:39:05.000","Exercise Equipment","B270","Brownsville Playground","B270","Brownsville Playground","Reopened","POINT (-73.90222157209897 40.65652470219158)","2020-04-10T17:02:51.000","2020-06-20T00:00:00.000"
"Q","Temporary Fencing","2020-06-22T17:17:24.000","Exercise Equipment","Q220G","Hoover - Manton Playgrounds","Q220G","Hoover - Manton Playgrounds","Reopened","POINT (-73.82123043186971 40.71147246523084)","2020-04-11T19:24:41.000",
"X","Completely Locked","2020-06-22T10:24:49.000","Exercise Equipment","X174","Webster Playground","X174","Webster Playground","Reopened","POINT (-73.89289227408571 40.859383860444325)","2020-04-10T10:30:16.000","2020-06-21T00:00:00.000"
"B","Partially Locked","2020-06-22T14:33:56.000","Exercise Equipment","B381","Thomas Boyland Park","B381","Thomas Boyland Park","Reopened","POINT (-73.90754695317372 40.68174274121655)","2020-04-10T12:28:55.000","2020-06-22T00:00:00.000"
"Q",,"2020-04-11T19:26:20.000","Exercise Equipment","Q024-ZN04","Kissena Park","Q024","Kissena Park Zone 4","Active","POINT (-73.80964169426333 40.74366696799822)",,
"B","Completely Locked","2020-06-29T09:55:28.000","Exercise Equipment","B380","Robert E. Venable Park","B380","Robert E. Venable Park","Reopened","POINT (-73.86522898889854 40.67442236557769)","2020-04-10T17:00:21.000","2020-06-29T00:00:00.000"
"M",,"2020-04-10T12:10:07.000","Exercise Equipment","M071-ZN20","Riverside Park","M071","Hudson Beach Volleyball Courts & Café","Active","POINT (-73.97230888123832 40.80261866543612)",,
"X","Temporary Fencing","2020-06-22T10:37:42.000","Exercise Equipment","X136-01","Harris Park","X136","Harris Playground","Reopened","POINT (-73.8923909260246 40.87512695638038)","2020-04-10T14:22:08.000","2020-06-21T00:00:00.000"
"Q","Blocked with Barricade","2020-06-21T19:37:53.000","Exercise Equipment","Q127","Marconi Park","Q127","Marconi Park","Reopened","POINT (-73.79553022951403 40.69358689096437)","2020-04-11T19:00:39.000","2020-06-21T14:30:00.000"
"M","Completely Locked","2020-06-22T16:20:14.000","Exercise Equipment","M229","Happy Warrior Playground","M229","Happy Warrior Playground","Reopened","POINT (-73.96864303062301 40.795476653183876)","2020-04-15T16:21:20.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T09:58:34.000","Exercise Equipment","X113","Hunts Point Playground","X113","Hunts Point Playground","Reopened","POINT (-73.88597051944393 40.81413655975832)","2020-04-10T10:11:35.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-22T17:17:49.000","Exercise Equipment","Q298","Paul Raimonda Playground","Q298","Paul Raimonda Playground","Reopened","POINT (-73.89744608049097 40.77280249419432)","2020-04-11T17:39:43.000",
"M","Blocked with Barricade","2020-06-22T15:34:43.000","Exercise Equipment","M071-34","Riverside Park","M071","Tot Lot One Hundred Five","Reopened","POINT (-73.97095004711657 40.80175743965774)","2020-04-10T11:46:55.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T19:55:39.000","Exercise Equipment","Q085","Gorman Playground","Q085","Gorman Playground","Reopened","POINT (-73.88423696233977 40.762384280657514)","2020-04-11T17:56:46.000","2020-06-21T13:30:00.000"
"B","Blocked with Barricade","2020-06-22T12:42:25.000","Exercise Equipment","B008-03","Betsy Head Park","B008","Imagination Playground at Betsy Head","Reopened","POINT (-73.91182793479264 40.66451174662287)","2020-04-10T17:01:06.000","2020-06-20T00:00:00.000"
"X","Completely Locked","2020-06-22T09:29:10.000","Exercise Equipment","X182","Millbrook Playground","X182","Millbrook Playground","Reopened","POINT (-73.91664783759227 40.804354092158704)","2020-04-13T14:08:12.000","2020-06-21T00:00:00.000"
"M",,"2020-04-10T11:50:49.000","Exercise Equipment","M391-ZN02","East River Waterfront Esplanade","M391","East River Waterfront Esplanade Zone 2","Active","POINT (-73.99357061521128 40.709116827782076)",,
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X002-ZN01","Bronx Park","X002","Bronx Park Zone 1","Active","POINT (-73.87018555214237 40.85244059800561)",,
"R",,"2020-06-23T14:37:37.000","Exercise Equipment","R031-ZN02","Wolfe's Pond Park","R031","Wolfe's Pond Park Zone 2","Active","POINT (-74.18934171811541 40.516787620972146)",,
"B","Partially Locked","2020-06-22T14:13:51.000","Exercise Equipment","B217","Marcy Playground","B217","Marcy Playground","Reopened","POINT (-73.95091349362018 40.69552139391246)","2020-04-10T11:59:53.000","2020-06-22T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T11:39:52.000","Exercise Equipment","Q133","Pat Williams Playground","Q133","Pat Williams Playground","Reopened","POINT (-73.72951806876853 40.71303533928013)","2020-04-11T19:13:15.000","2020-06-21T11:39:50.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B054-ZN01","Lincoln Terrace / Arthur S. Somers Park","B054","Lincoln Terr Pk/Arthur S Somers Zone 1","Active","POINT (-73.92734465085397 40.66591177111678)",,
"X","Temporary Fencing","2020-06-22T09:41:37.000","Exercise Equipment","X030","Macombs Dam Park","X030","Macombs Dam Park","Reopened","POINT (-73.92816909012869 40.8287635358581)","2020-04-10T14:45:24.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B316","DiGilio Playground","B316","DiGilio Playground","Active","POINT (-73.9771308362306 40.63262866008647)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B162","Brizzi Playground","B162","Brizzi Playground","Active","POINT (-73.99464872731262 40.64241752988835)",,
"R",,"2020-04-09T15:20:54.000","Exercise Equipment","R109","CPL. Thompson Park","R109","CPL. Thompson Park","Active","POINT (-74.11885101101721 40.63806407584962)",,
"Q","Temporary Fencing","2020-06-21T19:06:46.000","Exercise Equipment","Q020-01","Highland Park","Q020","Lower Highland Playground","Reopened","POINT (-73.88573854218654 40.68396081226197)","2020-04-11T18:23:15.000","2020-06-21T10:00:00.000"
"Q","Completely Locked","2020-06-22T17:16:37.000","Exercise Equipment","Q174A","St. Michael's Playground","Q174A","St. Michael's Playground","Reopened","POINT (-73.90015135152188 40.75898091465636)","2020-04-11T17:35:29.000",
"Q","Temporary Fencing","2020-06-22T17:20:03.000","Exercise Equipment","Q005-05","Baisley Pond Park","Q005","157 St Playground","Reopened","POINT (-73.7860883963776 40.684087435168635)","2020-04-11T19:31:41.000",
"X","Completely Locked","2020-06-22T10:56:24.000","Exercise Equipment","X159","Playground 174","X159","Playground 174","UnderConstruction","POINT (-73.87776458244036 40.834348562101404)","2020-04-10T14:23:08.000",
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B223R","Jaime Campiz Playground","B223R","Jaime Campiz Playground","Active","POINT (-73.95437736789306 40.71354253779619)",,
"X","Completely Locked","2020-06-22T10:23:30.000","Exercise Equipment","X102","Ciccarone Park","X102","Ciccarone Park","Reopened","POINT (-73.8867043823755 40.85596618962918)","2020-04-10T10:29:34.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B057-ZN03","Marine Park","B057","Marine Park Zone 3","Active","POINT (-73.93544957071987 40.604080411761934)",,
"Q","Blocked with Barricade","2020-06-21T11:31:08.000","Exercise Equipment","Q364","Marie Curie Playground","Q364","Marie Curie Playground","Reopened","POINT (-73.77177875021114 40.75693569665497)","2020-04-11T19:29:31.000","2020-06-21T11:31:06.000"
"B","Blocked with Barricade","2020-06-22T12:20:00.000","Exercise Equipment","B149A","Elton Playground","B149A","Elton Playground","Reopened","POINT (-73.88073888137447 40.66593255530791)","2020-04-10T16:58:34.000","2020-06-20T00:00:00.000"
"B","Completely Locked","2020-06-22T14:18:02.000","Exercise Equipment","B294","Jackie Robinson Park Playground","B294","Jackie Robinson Park Playground","Reopened","POINT (-73.92781171578808 40.68021202010892)","2020-04-10T12:27:26.000","2020-06-22T00:00:00.000"
"M","Completely Locked","2020-06-19T09:59:41.000","Exercise Equipment","M171","Cherry Clinton Playground","M171","Cherry Clinton Playground","Reopened","POINT (-73.98628029521305 40.71131293656162)","2020-04-10T11:57:06.000","2020-06-19T00:00:00.000"
"M","Completely Locked","2020-06-22T10:39:42.000","Exercise Equipment","M041","Alexander Hamilton Playground","M041","Alexander Hamilton Playground","Reopened","POINT (-73.95128561178713 40.82307915506855)","2020-04-10T14:13:47.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T09:49:25.000","Exercise Equipment","X148A2","Plimpton Playground","X148A2","Plimpton Playground","Reopened","POINT (-73.92241783996984 40.84392533185879)","2020-04-16T10:43:03.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T11:03:34.000","Exercise Equipment","Q105","Howard Von Dohlen Playground","Q105","Howard Von Dohlen Playground","Reopened","POINT (-73.81297834293107 40.69944018455653)","2020-04-11T19:31:04.000","2020-06-23T11:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B052-03","Leif Ericson Park","B052","Leif Ericson Park Playground","Active","POINT (-74.01190423157917 40.63081826430383)",,
"X","Completely Locked","2020-06-22T10:27:27.000","Exercise Equipment","X257","Mount Hope Playground","X257","Mount Hope Playground","Reopened","POINT (-73.90943943807447 40.850298333713894)","2020-04-10T14:14:11.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T11:01:11.000","Exercise Equipment","Q005-12","Baisley Pond Park","Q005","Rockaway Blvd Playground","Reopened","POINT (-73.78772129274583 40.67256761252278)","2020-04-11T18:55:11.000","2020-06-23T11:00:00.000"
"B","Completely Locked","2020-06-22T13:58:26.000","Exercise Equipment","B129-ZN01","Kaiser Park","B129","Kaiser Park Zone 1","Reopened","POINT (-73.9946104382313 40.5785609783044)","2020-04-10T16:06:07.000","2020-06-22T00:00:00.000"
"X","Temporary Fencing","2020-06-22T10:38:47.000","Exercise Equipment","X080-03","Henry Hudson Park","X080","Henry Hudson Playground (West)","Reopened","POINT (-73.92043903890612 40.88118467900721)","2020-04-17T12:35:55.000","2020-06-21T00:00:00.000"
"M","Blocked with Barricade","2020-06-22T15:53:26.000","Exercise Equipment","M010-ZN28","Central Park","M010","Ross Pinetum","Reopened","POINT (-73.96808279850276 40.782949186854935)","2020-04-10T11:59:36.000","2020-06-21T00:00:00.000"
"Q",,"2020-04-11T17:48:33.000","Exercise Equipment","Q471-ZN02","Hunter's Point South Park","Q471","Hunter's Point South Park Zone 2","Active","POINT (-73.96159862999801 40.739425621922614)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B357","Jackie Robinson Playground","B357","Jackie Robinson Playground","Active","POINT (-73.95923738577667 40.66579035154009)",,
"Q","Temporary Fencing","2020-06-21T19:07:54.000","Exercise Equipment","Q128","London Planetree Playground","Q128","London Planetree Playground","Reopened","POINT (-73.85324212334196 40.68613982932543)","2020-04-11T18:46:34.000","2020-06-21T09:45:00.000"
"M","Taped Off","2020-06-22T16:11:41.000","Exercise Equipment","M011","Chelsea Park","M011","Chelsea Park","Reopened","POINT (-74.00072824876388 40.74994165135954)","2020-04-10T13:12:14.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-22T16:20:32.000","Exercise Equipment","M238","Bloomingdale Playground","M238","Bloomingdale Playground","Reopened","POINT (-73.96600104027476 40.799172214647015)","2020-04-09T15:22:59.000","2020-06-21T00:00:00.000"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X126-ZN04","Ferry Point Park","X126","Ferry Point Park Zone 4","Active","POINT (-73.8257334075983 40.819745433218365)",,
"M","Temporary Fencing","2020-06-22T16:33:41.000","Exercise Equipment","M198","Martin Luther King, Jr. Playground","M198","Martin Luther King, Jr. Playground","Reopened","POINT (-73.95046394626499 40.79983407374056)","2020-04-15T16:27:34.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-23T14:54:45.000","Exercise Equipment","B156","Powell Playground","B156","Powell Playground","Reopened","POINT (-73.90482748554767 40.671272940120616)","2020-04-10T17:01:55.000","2020-06-20T00:00:00.000"
"R",,"2020-04-09T15:20:54.000","Exercise Equipment","R109-01","CPL. Thompson Park","R109","Corporal Thompson Playground","Active","POINT (-74.11803173698999 40.63892148395194)",,
"R",,"2020-04-09T15:20:54.000","Exercise Equipment","R106-ZN03","Bloomingdale Park","R106","Bloomingdale Park Zone 3","Active","POINT (-74.2094651280486 40.53302586858849)",,
"B","Completely Locked","2020-06-23T14:57:09.000","Exercise Equipment","B267","Winthrop Playground","B267","Winthrop Playground","Reopened","POINT (-73.95436927754135 40.65656962472253)","2020-04-10T13:01:20.000","2020-06-22T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T12:29:29.000","Exercise Equipment","Q437","Murray Hill Playground","Q437","Murray Hill Playground","Reopened","POINT (-73.81183043181511 40.761667013829985)","2020-04-11T19:27:49.000","2020-06-23T12:29:28.000"
"B","Completely Locked","2020-06-23T14:56:55.000","Exercise Equipment","B193","Hamilton Metz Field","B193","Hamilton Metz Field","UnderConstruction","POINT (-73.94096520005297 40.66256640670979)","2020-04-10T13:00:52.000",
"Q","Completely Locked","2020-06-22T17:16:50.000","Exercise Equipment","Q205A","Big Bush Playground","Q205A","Big Bush Playground","Reopened","POINT (-73.90262797225797 40.73960803876529)","2020-04-11T17:46:31.000",
"B","Taped Off","2020-06-23T14:55:32.000","Exercise Equipment","B087","Sunset Park","B087","Sunset Park","Reopened","POINT (-74.00374340596935 40.64797630201614)","2020-04-10T12:37:25.000","2020-06-22T00:00:00.000"
"X","Temporary Fencing","2020-06-22T09:31:09.000","Exercise Equipment","X041","Pulaski Park","X041","Pulaski Park","Reopened","POINT (-73.92456568539104 40.80524231318757)","2020-04-13T13:33:19.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T14:20:32.000","Exercise Equipment","B266","Star Spangled Playground","B266","Star Spangled Playground","Reopened","POINT (-73.95795318223661 40.69189603258583)","2020-04-10T12:26:32.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-22T13:11:04.000","Exercise Equipment","B110","Marion Hopkinson Playground","B110","Marion Hopkinson Playground","Reopened","POINT (-73.91331971321605 40.68178115530074)","2020-04-10T17:01:31.000","2020-06-20T00:00:00.000"
"B","Completely Locked","2020-06-22T15:21:15.000","Exercise Equipment","B055","Sternberg Park","B055","Sternberg Park","Reopened","POINT (-73.94724412443163 40.70622664370648)","2020-04-10T11:36:06.000","2020-06-21T00:00:00.000"
"X","Temporary Fencing","2020-06-22T10:00:13.000","Exercise Equipment","X029","Lyons Square Playground","X029","Lyons Square Park","Reopened","POINT (-73.88807089854696 40.82277492741597)","2020-04-14T11:20:43.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T11:03:53.000","Exercise Equipment","Q448-ZN03","Roy Wilkins Recreation Center","Q448","Roy Wilkins Rec Center Zone 3","Reopened","POINT (-73.77385916183722 40.688165349209775)","2020-04-12T17:18:58.000","2020-06-23T11:00:00.000"
"Q","Temporary Fencing","2020-06-22T10:20:18.000","Exercise Equipment","Q300-05","Kissena Corridor Park","Q300","Rachel Carson Playground","Reopened","POINT (-73.82235858041797 40.74912552504104)","2020-04-11T19:27:04.000","2020-06-22T10:20:14.000"
"M","Completely Locked","2020-06-19T10:01:28.000","Exercise Equipment","M064","Lillian D Wald Playground","M064","Lillian D Wald Playground","Reopened","POINT (-73.98436372971324 40.712041645722266)","2020-04-10T11:56:13.000","2020-06-19T00:00:00.000"
"Q",,"2020-06-23T15:43:44.000","Exercise Equipment","Q163-ZN07A","Rockaway Beach and Boardwalk Zone","Q163","Rockaway Beach and Boardwalk Zone 7a","Active","POINT (-73.82370017231392 40.58133191355296)",,"2020-06-07T00:00:00.000"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X002-ZN03","Bronx Park","X002","Bronx Park Zone 3","Active","POINT (-73.87119701199138 40.8704091318215)",,
"Q","Completely Locked","2020-06-21T19:04:08.000","Exercise Equipment","Q131","Frank Principe Park","Q131","Frank Principe Park","Reopened","POINT (-73.90473912871441 40.727467415916564)","2020-04-11T17:53:11.000","2020-06-21T10:00:00.000"
"X","Completely Locked","2020-06-22T10:25:41.000","Exercise Equipment","X085","Slattery Playground","X085","Slattery Playground","Reopened","POINT (-73.89848043408038 40.857305901611696)","2020-04-16T14:39:16.000","2020-06-21T00:00:00.000"
"Q",,"2020-06-23T09:27:34.000","Exercise Equipment","Q361","Moore Homestead Playground","Q361","Moore Homestead Playground","UnderConstruction","POINT (-73.88239704521078 40.74214194008947)",,
"B","Completely Locked","2020-06-22T11:37:27.000","Exercise Equipment","B283","Belmont Playground","B283","Belmont Playground","Reopened","POINT (-73.86284220864064 40.675493554391096)","2020-04-10T16:59:50.000","2020-06-20T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T09:23:00.000","Exercise Equipment","Q410","Hinton Park","Q410","Hinton Park","Reopened","POINT (-73.85494271577642 40.75601123478801)","2020-04-11T17:57:18.000","2020-06-23T09:15:00.000"
"B","Blocked with Barricade","2020-06-22T12:23:12.000","Exercise Equipment","B078","Grace Playground","B078","Grace Playground","Reopened","POINT (-73.8944393083876 40.671374740049124)","2020-04-10T16:57:22.000","2020-06-20T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T19:38:51.000","Exercise Equipment","Q051","St. Albans Park","Q051","St. Albans Park","Reopened","POINT (-73.77931569080786 40.69304017537922)","2020-04-12T17:32:18.000","2020-06-21T14:30:00.000"
"B","Blocked with Barricade","2020-06-22T13:09:16.000","Exercise Equipment","B219","Callahan-Kelly Playground","B219","Callahan-Kelly Playground","Reopened","POINT (-73.90531416915717 40.6783597533944)","2020-04-10T17:02:29.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T15:03:10.000","Exercise Equipment","B058-ZN02","McCarren Park","B058","McCarren Park Zone 2","Reopened","POINT (-73.95139123902742 40.72002512270835)","2020-04-17T10:39:45.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B137","Sixteen Sycamores Playground","B137","Sixteen Sycamores Playground","Active","POINT (-73.9810056827376 40.686791726805176)",,
