"borough","closuretype","editdate","featuretype","propid","propname","propnum","sitename","status","point","approx_date_closed","approx_date_reopened"
"M",,"2020-04-14T15:44:24.000","Exercise Equipment","M045","John Jay Park","M045","John Jay Park","Active","POINT (-73.94948322669356 40.76923883565357)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B025","Cooper Park","B025","Cooper Park","Active","POINT (-73.93724000264929 40.71585257942294)",,
"Q","Temporary Fencing","2020-06-21T11:39:52.000","Exercise Equipment","Q134","Breininger Park","Q134","Breininger Park","Reopened","POINT (-73.72897475587081 40.72582789576103)","2020-04-11T19:06:52.000","2020-06-21T11:39:50.000"
"B","Completely Locked","2020-06-22T14:12:49.000","Exercise Equipment","B298","Stockton Playground","B298","Stockton Playground","Reopened","POINT (-73.94867376733984 40.69728373770297)","2020-04-10T12:27:53.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-23T11:10:39.000","Exercise Equipment","Q001-ZN01","Alley Pond Park","Q001","Alley Pond Park Zone 1","Reopened","POINT (-73.73626821207041 40.73949215306536)","2020-04-11T19:14:22.000","2020-06-23T11:10:37.000"
"X","Temporary Fencing","2020-06-22T10:33:37.000","Exercise Equipment","X137","Jerome Park","X137","Jerome Park","Reopened","POINT (-73.8919726294351 40.878654455347174)","2020-04-13T12:01:05.000","2020-06-21T00:00:00.000"
"Q","Partially Locked","2020-06-23T09:25:50.000","Exercise Equipment","Q026","Park Of The Americas","Q026","Park Of The Americas","Reopened","POINT (-73.86192271977383 40.74856510690504)","2020-04-13T09:15:26.000","2020-06-23T09:25:48.000"
"B","Completely Locked","2020-06-22T11:24:26.000","Exercise Equipment","B141","City Line Park","B141","City Line Park","Reopened","POINT (-73.87492274042454 40.67948179994447)","2020-05-21T13:03:15.000","2020-06-20T00:00:00.000"
"M","Completely Locked","2020-06-22T17:21:11.000","Exercise Equipment","M079","St. Catherine's Park","M079","St. Catherine's Park","Reopened","POINT (-73.9587213697007 40.765194408933915)","2020-04-10T11:53:33.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T10:05:38.000","Exercise Equipment","X206","Morgan Playground","X206","Morgan Playground","Reopened","POINT (-73.90743530814089 40.832274295195916)","2020-04-10T08:42:35.000","2020-06-21T00:00:00.000"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X118-ZN03","Soundview Park","X118","Soundview Park Zone 3","Active","POINT (-73.87305103232546 40.81828649628689)",,
"M",,"2020-04-13T13:10:34.000","Exercise Equipment","M047","Thomas Jefferson Park","M047","Thomas Jefferson Park","Active","POINT (-73.93559005057931 40.79320242709617)",,
"B","Completely Locked","2020-06-22T15:39:17.000","Exercise Equipment","B007-01","Bensonhurst Park","B007","Bensonhurst Park Playground","Reopened","POINT (-73.99981329076745 40.59692354879052)","2020-04-10T16:00:20.000","2020-06-20T00:00:00.000"
