"extract_date","date","mod_zcta","total_ed_visits","ili_pne_visits","ili_pne_admissions"
"2022-02-22T00:00:00.000","2021-05-13T00:00:00.000","10464","2","0","0"
"2022-02-22T00:00:00.000","2021-10-23T00:00:00.000","10065","14","0","0"
"2022-02-22T00:00:00.000","2021-05-29T00:00:00.000","10035","53","4","0"
"2022-02-22T00:00:00.000","2021-12-17T00:00:00.000","10304","72","18","2"
"2022-02-22T00:00:00.000","2021-07-24T00:00:00.000","11374","24","1","1"
"2022-02-22T00:00:00.000","2020-09-29T00:00:00.000","11105","26","0","0"
"2022-02-22T00:00:00.000","2020-06-27T00:00:00.000","11369","26","2","1"
"2022-02-22T00:00:00.000","2021-06-12T00:00:00.000","10469","74","2","0"
"2022-02-22T00:00:00.000","2021-11-10T00:00:00.000","11234","76","9","0"
"2022-02-22T00:00:00.000","2020-06-10T00:00:00.000","11370","26","1","0"
"2022-02-22T00:00:00.000","2022-02-14T00:00:00.000","11237","63","3","2"
"2022-02-22T00:00:00.000","2020-11-23T00:00:00.000","10013","14","1","0"
"2022-02-22T00:00:00.000","2020-05-02T00:00:00.000","10308","16","1","1"
"2022-02-22T00:00:00.000","2020-09-27T00:00:00.000","11436","20","1","1"
"2022-02-22T00:00:00.000","2022-01-09T00:00:00.000","11105","27","2","0"
"2022-02-22T00:00:00.000","2021-06-12T00:00:00.000","11375","38","3","0"
"2022-02-22T00:00:00.000","2021-11-27T00:00:00.000","10016","66","5","1"
"2022-02-22T00:00:00.000","2020-05-26T00:00:00.000","11207","108","1","0"
"2022-02-22T00:00:00.000","2021-07-11T00:00:00.000","10012","10","0","0"
"2022-02-22T00:00:00.000","2021-01-17T00:00:00.000","11694","13","2","2"
"2022-02-22T00:00:00.000","2021-11-27T00:00:00.000","11368","135","11","1"
"2022-02-22T00:00:00.000","2020-05-25T00:00:00.000","11219","49","2","1"
"2022-02-22T00:00:00.000","2021-08-11T00:00:00.000","10305","52","3","1"
"2022-02-22T00:00:00.000","2021-12-24T00:00:00.000","11233","146","36","10"
"2022-02-22T00:00:00.000","2021-05-22T00:00:00.000","11231","40","3","0"
"2022-02-22T00:00:00.000","2020-07-25T00:00:00.000","11355","46","3","2"
"2022-02-22T00:00:00.000","2022-01-20T00:00:00.000","11411","32","2","1"
"2022-02-22T00:00:00.000","2021-07-15T00:00:00.000","11103","38","1","0"
"2022-02-22T00:00:00.000","2022-01-02T00:00:00.000","11231","34","5","0"
"2022-02-22T00:00:00.000","2020-03-28T00:00:00.000","11215","34","8","1"
"2022-02-22T00:00:00.000","2021-01-30T00:00:00.000","11219","52","7","3"
"2022-02-22T00:00:00.000","2020-07-20T00:00:00.000","10004","1","0","0"
"2022-02-22T00:00:00.000","2021-12-26T00:00:00.000","11358","22","6","1"
"2022-02-22T00:00:00.000","2021-10-09T00:00:00.000","10282","2","0","0"
"2022-02-22T00:00:00.000","2021-04-13T00:00:00.000","10036","23","0","0"
"2022-02-22T00:00:00.000","2020-09-07T00:00:00.000","11691","67","0","0"
"2022-02-22T00:00:00.000","2021-02-14T00:00:00.000","10014","24","0","0"
"2022-02-22T00:00:00.000","2021-07-13T00:00:00.000","10011","22","1","1"
"2022-02-22T00:00:00.000","2020-10-30T00:00:00.000","11433","40","1","0"
"2022-02-22T00:00:00.000","2020-09-28T00:00:00.000","10308","17","0","0"
"2022-02-22T00:00:00.000","2021-09-23T00:00:00.000","10302","33","1","0"
"2022-02-22T00:00:00.000","2021-07-18T00:00:00.000","10312","44","3","1"
"2022-02-22T00:00:00.000","2021-06-23T00:00:00.000","11416","19","0","0"
"2022-02-22T00:00:00.000","2021-08-28T00:00:00.000","10025","77","3","3"
"2022-02-22T00:00:00.000","2021-02-25T00:00:00.000","10466","99","5","2"
"2022-02-22T00:00:00.000","2020-05-26T00:00:00.000","11233","87","1","0"
"2022-02-22T00:00:00.000","2021-02-03T00:00:00.000","11357","12","4","2"
"2022-02-22T00:00:00.000","2021-01-31T00:00:00.000","11416","14","2","1"
"2022-02-22T00:00:00.000","2021-02-19T00:00:00.000","11213","78","6","0"
"2022-02-22T00:00:00.000","2021-10-23T00:00:00.000","10010","11","0","0"
"2022-02-22T00:00:00.000","2021-03-13T00:00:00.000","10012","10","2","0"
"2022-02-22T00:00:00.000","2021-06-22T00:00:00.000","10033","57","3","0"
"2022-02-22T00:00:00.000","2020-05-24T00:00:00.000","10473","37","0","0"
"2022-02-22T00:00:00.000","2021-08-18T00:00:00.000","10475","54","5","0"
"2022-02-22T00:00:00.000","2021-10-25T00:00:00.000","11222","25","0","0"
"2022-02-22T00:00:00.000","2020-07-09T00:00:00.000","11357","14","2","1"
"2022-02-22T00:00:00.000","2021-06-05T00:00:00.000","10314","59","0","0"
"2022-02-22T00:00:00.000","2021-01-30T00:00:00.000","11212","136","10","4"
"2022-02-22T00:00:00.000","2021-04-20T00:00:00.000","11233","105","5","1"
"2022-02-22T00:00:00.000","2022-02-03T00:00:00.000","10457","158","8","4"
"2022-02-22T00:00:00.000","2021-03-16T00:00:00.000","11102","42","2","1"
"2022-02-22T00:00:00.000","2021-05-09T00:00:00.000","11225","56","3","1"
"2022-02-22T00:00:00.000","2021-08-06T00:00:00.000","11106","38","4","2"
"2022-02-22T00:00:00.000","2021-06-18T00:00:00.000","10305","55","0","0"
"2022-02-22T00:00:00.000","2021-06-26T00:00:00.000","11378","22","2","0"
"2022-02-22T00:00:00.000","2021-01-15T00:00:00.000","10307","10","4","3"
"2022-02-22T00:00:00.000","2020-11-17T00:00:00.000","10003","35","2","1"
"2022-02-22T00:00:00.000","2020-03-30T00:00:00.000","11420","36","19","5"
"2022-02-22T00:00:00.000","2020-06-21T00:00:00.000","11219","50","0","0"
"2022-02-22T00:00:00.000","2021-01-13T00:00:00.000","10027","75","2","0"
"2022-02-22T00:00:00.000","2020-07-01T00:00:00.000","10038","22","2","2"
"2022-02-22T00:00:00.000","2021-10-30T00:00:00.000","11225","43","1","1"
"2022-02-22T00:00:00.000","2020-11-07T00:00:00.000","11217","17","1","0"
"2022-02-22T00:00:00.000","2021-12-18T00:00:00.000","10025","89","15","1"
"2022-02-22T00:00:00.000","2021-07-08T00:00:00.000","11692","27","1","0"
"2022-02-22T00:00:00.000","2021-05-19T00:00:00.000","11358","14","1","0"
"2022-02-22T00:00:00.000","2021-03-30T00:00:00.000","11691","91","15","7"
"2022-02-22T00:00:00.000","2021-09-27T00:00:00.000","11358","26","2","1"
"2022-02-22T00:00:00.000","2021-08-19T00:00:00.000","10472","101","6","1"
"2022-02-22T00:00:00.000","2021-09-14T00:00:00.000","10013","9","1","0"
"2022-02-22T00:00:00.000","2021-04-23T00:00:00.000","10036","35","0","0"
"2022-02-22T00:00:00.000","2021-07-05T00:00:00.000","10014","19","1","0"
"2022-02-22T00:00:00.000","2020-04-17T00:00:00.000","10463","35","10","4"
"2022-02-22T00:00:00.000","2021-10-14T00:00:00.000","11231","25","1","0"
"2022-02-22T00:00:00.000","2021-05-08T00:00:00.000","10038","21","2","0"
"2022-02-22T00:00:00.000","2021-01-28T00:00:00.000","10474","25","0","0"
"2022-02-22T00:00:00.000","2021-06-11T00:00:00.000","10461","60","2","0"
"2022-02-22T00:00:00.000","2021-07-19T00:00:00.000","10463","75","1","1"
"2022-02-22T00:00:00.000","2021-09-06T00:00:00.000","10303","46","1","0"
"2022-02-22T00:00:00.000","2020-11-18T00:00:00.000","11203","120","4","0"
"2022-02-22T00:00:00.000","2021-05-28T00:00:00.000","10475","33","1","0"
"2022-02-22T00:00:00.000","2021-05-01T00:00:00.000","11232","23","2","0"
"2022-02-22T00:00:00.000","2021-02-05T00:00:00.000","10034","42","2","1"
"2022-02-22T00:00:00.000","2021-02-10T00:00:00.000","10308","24","5","1"
"2022-02-22T00:00:00.000","2021-12-31T00:00:00.000","10038","23","1","0"
"2022-02-22T00:00:00.000","2021-02-02T00:00:00.000","11223","62","15","3"
"2022-02-22T00:00:00.000","2020-07-04T00:00:00.000","10309","16","0","0"
"2022-02-22T00:00:00.000","2021-09-06T00:00:00.000","10308","29","3","0"
"2022-02-22T00:00:00.000","2022-01-12T00:00:00.000","10460","95","7","0"
"2022-02-22T00:00:00.000","2020-06-24T00:00:00.000","10308","12","0","0"
"2022-02-22T00:00:00.000","2020-07-29T00:00:00.000","11418","35","1","1"
"2022-02-22T00:00:00.000","2021-12-19T00:00:00.000","11222","23","4","1"
"2022-02-22T00:00:00.000","2021-09-19T00:00:00.000","10473","70","4","1"
"2022-02-22T00:00:00.000","2022-01-11T00:00:00.000","11224","66","9","6"
"2022-02-22T00:00:00.000","2020-08-20T00:00:00.000","11231","27","1","0"
"2022-02-22T00:00:00.000","2022-01-22T00:00:00.000","10040","39","3","1"
"2022-02-22T00:00:00.000","2021-05-26T00:00:00.000","11102","36","0","0"
"2022-02-22T00:00:00.000","2020-03-21T00:00:00.000","11229","51","18","8"
"2022-02-22T00:00:00.000","2020-07-19T00:00:00.000","11105","14","0","0"
"2022-02-22T00:00:00.000","2021-07-04T00:00:00.000","11426","8","2","0"
"2022-02-22T00:00:00.000","2021-04-08T00:00:00.000","10034","48","3","1"
"2022-02-22T00:00:00.000","2021-10-28T00:00:00.000","10026","38","1","0"
"2022-02-22T00:00:00.000","2021-11-17T00:00:00.000","11105","31","2","1"
"2022-02-22T00:00:00.000","2021-06-22T00:00:00.000","10456","200","7","1"
"2022-02-22T00:00:00.000","2021-10-13T00:00:00.000","11220","101","7","4"
"2022-02-22T00:00:00.000","2021-04-09T00:00:00.000","10463","73","7","2"
"2022-02-22T00:00:00.000","2021-07-16T00:00:00.000","11363","2","1","0"
"2022-02-22T00:00:00.000","2020-04-19T00:00:00.000","11201","24","1","1"
"2022-02-22T00:00:00.000","2021-02-15T00:00:00.000","11385","79","5","2"
"2022-02-22T00:00:00.000","2021-01-21T00:00:00.000","11220","72","9","4"
"2022-02-22T00:00:00.000","2022-01-12T00:00:00.000","10044","8","2","0"
"2022-02-22T00:00:00.000","2020-04-05T00:00:00.000","10013","5","1","1"
"2022-02-22T00:00:00.000","2020-05-22T00:00:00.000","11217","22","1","0"
"2022-02-22T00:00:00.000","2021-12-08T00:00:00.000","10463","83","2","1"
"2022-02-22T00:00:00.000","2021-07-30T00:00:00.000","10044","10","0","0"
"2022-02-22T00:00:00.000","2021-09-25T00:00:00.000","11379","21","2","1"
"2022-02-22T00:00:00.000","2020-03-22T00:00:00.000","10301","45","10","3"
"2022-02-22T00:00:00.000","2021-09-04T00:00:00.000","10065","15","1","0"
"2022-02-22T00:00:00.000","2020-04-07T00:00:00.000","11222","19","6","1"
"2022-02-22T00:00:00.000","2021-06-26T00:00:00.000","10003","35","0","0"
"2022-02-22T00:00:00.000","2021-03-26T00:00:00.000","10069","2","0","0"
"2022-02-22T00:00:00.000","2021-04-22T00:00:00.000","10017","11","0","0"
"2022-02-22T00:00:00.000","2021-10-22T00:00:00.000","10021","27","1","1"
"2022-02-22T00:00:00.000","2020-08-30T00:00:00.000","10069","4","0","0"
"2022-02-22T00:00:00.000","2021-07-05T00:00:00.000","10028","18","0","0"
"2022-02-22T00:00:00.000","2021-08-11T00:00:00.000","10466","102","13","1"
"2022-02-22T00:00:00.000","2020-03-14T00:00:00.000","10035","111","9","1"
"2022-02-22T00:00:00.000","2021-10-28T00:00:00.000","11219","72","4","0"
"2022-02-22T00:00:00.000","2021-05-13T00:00:00.000","11106","36","1","0"
"2022-02-22T00:00:00.000","2020-10-23T00:00:00.000","10011","28","0","0"
"2022-02-22T00:00:00.000","2020-12-09T00:00:00.000","10030","46","0","0"
"2022-02-22T00:00:00.000","2021-12-30T00:00:00.000","11205","62","8","0"
"2022-02-22T00:00:00.000","2020-12-19T00:00:00.000","11357","8","0","0"
"2022-02-22T00:00:00.000","2020-04-25T00:00:00.000","11209","31","0","0"
"2022-02-22T00:00:00.000","2021-08-03T00:00:00.000","10280","4","0","0"
"2022-02-22T00:00:00.000","2021-02-09T00:00:00.000","11233","120","9","4"
"2022-02-22T00:00:00.000","2021-02-21T00:00:00.000","10469","69","7","4"
"2022-02-22T00:00:00.000","2021-04-26T00:00:00.000","10464","6","0","0"
"2022-02-22T00:00:00.000","2020-07-11T00:00:00.000","11104","13","1","0"
"2022-02-22T00:00:00.000","2021-04-10T00:00:00.000","10011","36","0","0"
"2022-02-22T00:00:00.000","2021-09-10T00:00:00.000","10314","73","2","1"
"2022-02-22T00:00:00.000","2021-01-24T00:00:00.000","10006","1","0","0"
"2022-02-22T00:00:00.000","2020-04-23T00:00:00.000","11370","9","1","0"
"2022-02-22T00:00:00.000","2021-10-27T00:00:00.000","11223","74","7","1"
"2022-02-22T00:00:00.000","2020-03-16T00:00:00.000","10453","173","25","2"
"2022-02-22T00:00:00.000","2021-10-17T00:00:00.000","11416","20","2","0"
"2022-02-22T00:00:00.000","2021-12-18T00:00:00.000","10452","117","10","0"
"2022-02-22T00:00:00.000","2021-01-11T00:00:00.000","11377","64","6","3"
"2022-02-22T00:00:00.000","2020-08-02T00:00:00.000","10312","37","1","1"
"2022-02-22T00:00:00.000","2020-12-23T00:00:00.000","11421","37","2","0"
"2022-02-22T00:00:00.000","2020-05-09T00:00:00.000","11104","7","1","0"
"2022-02-22T00:00:00.000","2020-10-12T00:00:00.000","11362","3","0","0"
"2022-02-22T00:00:00.000","2021-12-30T00:00:00.000","11105","38","13","4"
"2022-02-22T00:00:00.000","2021-03-27T00:00:00.000","10462","91","6","0"
"2022-02-22T00:00:00.000","2021-05-08T00:00:00.000","11205","35","1","1"
"2022-02-22T00:00:00.000","2020-12-03T00:00:00.000","10044","10","1","0"
"2022-02-22T00:00:00.000","2020-10-13T00:00:00.000","11375","37","4","4"
"2022-02-22T00:00:00.000","2020-09-21T00:00:00.000","10023","12","0","0"
"2022-02-22T00:00:00.000","2022-01-14T00:00:00.000","10025","73","7","5"
"2022-02-22T00:00:00.000","2021-09-07T00:00:00.000","10017","4","0","0"
"2022-02-22T00:00:00.000","2021-04-18T00:00:00.000","11228","30","0","0"
"2022-02-22T00:00:00.000","2020-10-10T00:00:00.000","11214","39","0","0"
"2022-02-22T00:00:00.000","2020-05-19T00:00:00.000","11361","5","0","0"
"2022-02-22T00:00:00.000","2022-02-09T00:00:00.000","10011","27","0","0"
"2022-02-22T00:00:00.000","2020-03-11T00:00:00.000","11373","127","32","3"
"2022-02-22T00:00:00.000","2020-03-04T00:00:00.000","11231","36","2","0"
"2022-02-22T00:00:00.000","2020-08-17T00:00:00.000","10038","27","2","0"
"2022-02-22T00:00:00.000","2020-08-03T00:00:00.000","11432","65","1","0"
"2022-02-22T00:00:00.000","2022-01-02T00:00:00.000","11203","157","25","5"
"2022-02-22T00:00:00.000","2021-12-02T00:00:00.000","11434","66","3","1"
"2022-02-22T00:00:00.000","2021-03-20T00:00:00.000","10303","32","2","0"
"2022-02-22T00:00:00.000","2021-07-18T00:00:00.000","11428","14","1","0"
"2022-02-22T00:00:00.000","2020-12-22T00:00:00.000","10040","31","2","2"
"2022-02-22T00:00:00.000","2021-01-23T00:00:00.000","11417","16","2","1"
"2022-02-22T00:00:00.000","2020-09-30T00:00:00.000","11370","16","0","0"
"2022-02-22T00:00:00.000","2021-08-10T00:00:00.000","11235","93","16","5"
"2022-02-22T00:00:00.000","2021-04-20T00:00:00.000","11364","8","0","0"
"2022-02-22T00:00:00.000","2021-12-30T00:00:00.000","11358","19","6","0"
"2022-02-22T00:00:00.000","2021-09-22T00:00:00.000","10035","98","7","4"
