"borough","closuretype","editdate","gispropnum","name","omppropid","parkdistrict","propertyname","red_sign_installed","status","subpropertyname","system","yellow_sign_removed","polygon","approx_date_closed","approx_date_reopened"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q108","Laurelton Playground Skatepark","Q108","Q-13","Laurelton Playground","true","Reopened",,"Q108-SKATEPARK-01",,"POLYGON ((-73.73668390680447 40.670125027889426, -73.73650992509945 40.67038353970217, -73.73650521239664 40.67039063760912, -73.73649906181353 40.670397065838166, -73.73649163249164 40.670402657256936, -73.73648312015062 40.67040726642937, -73.736473745247 40.670410773190596, -73.73646375059485 40.67041308624361, -73.73645339780678 40.6704141458528, -73.73644295664974 40.670413923819375, -73.73643269793818 40.67041242616695, -73.73631883151052 40.6703738049163, -73.73645002972297 40.670136925824124, -73.73666394157502 40.670102313414056, -73.73668390680447 40.670125027889426))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T13:56:57.000","B268","Nautilus Playground Skate Park","B268","B-13","Nautilus Playground",,"Reopened",,"B268-SKATEPARK-01",,"POLYGON ((-73.99611855267074 40.571627810967875, -73.99613730316965 40.571575392959545, -73.99646960918275 40.57158324992425, -73.99648350029906 40.571701208275016, -73.99611354930354 40.57170405552031, -73.99611855267074 40.571627810967875))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-23T15:33:40.000","B025","Cooper Skate Park","B025","B-01","Cooper Park",,"Reopened",,"B025-SKATEPARK-01",,"POLYGON ((-73.93645783466312 40.71541779994403, -73.93644411543515 40.715384501397864, -73.93660222417793 40.71534678784564, -73.93672401929983 40.715642403298574, -73.93641707872344 40.71571561858531, -73.93630900280657 40.71545330137358, -73.93636494972012 40.71543995612884, -73.93636557744236 40.71543574298715, -73.93636710448834 40.715431665419096, -73.93636949169773 40.71542783326533, -73.93637267269445 40.715424351848874, -73.93637656099423 40.715421314774815, -73.93638105237079 40.715418804832545, -73.93638602367683 40.71541688949228, -73.93639134112814 40.71541562090956, -73.93639686030556 40.715415034124504, -73.93640243089135 40.71541514436275, -73.93640790258507 40.715415948839684, -73.9364131262878 40.71541742586071, -73.9364179600194 40.71541953482455, -73.93642227365017 40.71542221892712, -73.93642595008336 40.71542540606306, -73.93645783466312 40.71541779994403))","2020-04-09T19:11:11.000","2020-06-23T00:00:00.000"
"B","Completely Locked","2020-06-22T16:44:33.000","B243","Golconda Playground Skatepark","B243","B-02","Golconda Playground",,"Reopened",,"B243-SKATEPARK-01",,"POLYGON ((-73.98217389180603 40.69783790761944, -73.98215628660208 40.69782723021786, -73.98214126483954 40.697814469428906, -73.9821292464506 40.69779998282215, -73.98212056498195 40.69778417478043, -73.98211546523088 40.69776748659349, -73.98211408786767 40.6977503856497, -73.98211647298942 40.697733349226894, -73.98212255420792 40.69771685278509, -73.98213215983647 40.69770135735943, -73.98214502235906 40.69768729695437, -73.98216078198436 40.69767506323608, -73.98217899966248 40.69766499833, -73.98216232545268 40.697646259686465, -73.98216304749756 40.69760972871276, -73.98247237830945 40.69762577834166, -73.98247178043871 40.69763167660665, -73.98246995328799 40.69763742700041, -73.98246694303997 40.69764288094535, -73.98246282782033 40.69764789977434, -73.98245771296567 40.69765235382958, -73.98245172865506 40.69765612966618, -73.9824450299101 40.6976591300524, -73.98273425242878 40.69791933542585, -73.9827285475912 40.697999785441695, -73.98277930059707 40.69801181218482, -73.98281886030854 40.69804380789707, -73.98281921282346 40.6980440925116, -73.98291151780386 40.69804788390276, -73.98289855054011 40.698230778729894, -73.98267266628977 40.69822150118606, -73.98268221644975 40.698086820200416, -73.98256072380546 40.698081830127144, -73.9825680439359 40.69797859830352, -73.98254277494011 40.69796427992946, -73.98233495742903 40.69795574378187, -73.9823350061699 40.69795487389446, -73.98233662071435 40.697925488623525, -73.98233769310878 40.697905988193284, -73.98230675312784 40.6978652334563, -73.98227044033538 40.6978735594085, -73.98223283554093 40.6978772997409, -73.98219493028243 40.697876356449825, -73.98215772671394 40.69787075400414, -73.98212220684206 40.697860639340576, -73.9821128086084 40.697804218980316, -73.98212181948637 40.69781380633444, -73.98213273679578 40.69782216658543, -73.98214527781545 40.69782908266551, -73.98215911603536 40.697834376222026, -73.98217389180603 40.69783790761944))","2020-04-09T19:11:00.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-23T15:34:02.000","B127","Martinez Playground Skatepark","B127","B-01","Martinez Playground",,"Reopened",,"B127-SKATEPARK-01",,"POLYGON ((-73.94504301419892 40.7092484161744, -73.94474162408989 40.70927634622801, -73.94471884934549 40.70913861381329, -73.9450241647332 40.709109926562874, -73.94504301419892 40.7092484161744))","2020-04-09T19:11:11.000","2020-06-23T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q373","East Elmhurst Playground","Q373","Q-03","East Elmhurst Playground",,"Reopened",,"Q373-SKATEPARK-01",,"POLYGON ((-73.87078469784655 40.76495775062188, -73.87050437396124 40.764991044528365, -73.8704765159078 40.76485545209162, -73.87070158038736 40.76482872126484, -73.87076587825938 40.76486614995656, -73.87078469784655 40.76495775062188))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"M","Blocked with Barricade","2020-06-29T11:01:17.000","M037","Highbridge Park","M037-ZN07","M-12A","Highbridge Park","true","Reopened","Highbridge Park Zone 7","M037-ZN07-SKATEPARK-01","true","POLYGON ((-73.93009301994158 40.84658358551764, -73.92996730511928 40.84643343858405, -73.92992321917826 40.84626295307577, -73.92991443319785 40.84625080909841, -73.92990833999339 40.84623774915463, -73.9299050992903 40.84622411372817, -73.9299047960899 40.84621025946596, -73.92990743830876 40.846196549271305, -73.92991295678912 40.846183342398525, -73.92992120649647 40.84617098364777, -73.92993197126954 40.84615979706448, -73.9299449721337 40.84615007423811, -73.92995986611962 40.84614206979908, -73.92997626405845 40.84613599422567, -73.92999373770493 40.84613200574408, -73.9300125751313 40.8461301828714, -73.93003154993208 40.846130785105494, -73.93005012139452 40.84613379590942, -73.93006776547895 40.84613913031954, -73.93008398074684 40.846146635848974, -73.93009830732399 40.846156101504455, -73.93011034113044 40.846167257794555, -73.93011973979694 40.84617978843963, -73.93014308274248 40.846172887695936, -73.93032368499071 40.84666316292109, -73.93009301994158 40.84658358551764))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-23T15:14:13.000","B111A","Washington Park Skatepark","B111A","B-06","Washington Park",,"Reopened",,"B111A-SKATEPARK-01",,"POLYGON ((-73.98540356502595 40.67248343003906, -73.98554648693306 40.67231519312468, -73.98614518410238 40.67261003871639, -73.98600226307371 40.672778276368554, -73.98540356502595 40.67248343003906))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q162J","Far Rockaway Skatepark","Q162J","Q-14","Beach 17 Playground","true","Reopened",,"Q162J-SKATEPARK-01",,"POLYGON ((-73.74658656043039 40.59504286270358, -73.746597949622 40.59502551396154, -73.74661303111607 40.59500988706179, -73.74663136845841 40.59499643310499, -73.74665242973265 40.5949855435463, -73.74667560771806 40.59497753042889, -73.74670023169925 40.59497262731058, -73.74672558996322 40.594970975805374, -73.74675094871023 40.59497262292409, -73.74677557331465 40.59497752202163, -73.74679875432065 40.59498553105316, -73.74681981923821 40.59499641710249, -73.74683815967303 40.5950098672484, -73.7468532454887 40.59502549219735, -73.74686464011663 40.59504283892473, -73.74687201467066 40.59506140691493, -73.74687515499497 40.59508065898326, -73.74687396986866 40.59510003840377, -73.74686849449274 40.595118984225934, -73.74685888806282 40.59513694837914, -73.7468454266165 40.595153412767296, -73.74682849944918 40.59516790006717, -73.74680859840993 40.59517999261608, -73.74678629543214 40.59518933866643, -73.74676223892466 40.59519566948773, -73.74670148831588 40.595201928433106, -73.74664154534663 40.59521171829019, -73.74664833483521 40.595229728479275, -73.74652067971937 40.595262804269886, -73.7465147889848 40.59524518328211, -73.74644913179503 40.595270188336485, -73.74638676062312 40.59529967802316, -73.74636411602953 40.59531278293568, -73.74633888073743 40.5953227654031, -73.74631178711431 40.59532933617034, -73.74628362386468 40.59533230336439, -73.74625520882395 40.595331581439176, -73.74622736651227 40.59532719112634, -73.74620090804703 40.595319260291525, -73.7461766004478 40.59530801846298, -73.74615515129159 40.59529379319564, -73.74613718277098 40.59527699740624, -73.74612321755507 40.5952581194359, -73.74611366230889 40.59523770770468, -73.74610879357597 40.595216355371015, -73.74610875311802 40.59519468321149, -73.74611354208452 40.59517331979617, -73.74612302106449 40.59515288798073, -73.74613691490863 40.59513397970264, -73.7461548198589 40.59511714519064, -73.74617621661905 40.595102873182206, -73.74620048103499 40.59509157834017, -73.74622691012911 40.595083589603504, -73.74625473513888 40.595079138509504, -73.74628314870503 40.59507835475156, -73.74631132261177 40.59508126081506, -73.74635157679784 40.59509047560944, -73.7463932295478 40.59509476129272, -73.74643524756554 40.59509401112232, -73.74647659117583 40.59508824261568, -73.74651623557618 40.595077601199364, -73.74655319687551 40.59506234765889, -73.74658656043039 40.59504286270358))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"R","Completely Locked","2020-06-22T17:30:46.000","R046","Ben Soto Skatepark","R046-07","R-02B","Franklin D. Roosevelt Boardwalk and Beach","true","Reopened","Midland Beach Playground","R046-07-SKATEPARK-01","true","POLYGON ((-74.08426458777006 40.574759503854516, -74.08362897332758 40.57444467296334, -74.08388515790531 40.57429420659449, -74.08425246352333 40.574471041321566, -74.08445722931731 40.57464880945886, -74.08426458777006 40.574759503854516))","2020-04-09T00:00:00.000","2020-06-22T00:00:00.000"
