"borough","closuretype","editdate","gispropnum","name","omppropid","parkdistrict","propertyname","red_sign_installed","status","subpropertyname","system","yellow_sign_removed","polygon","approx_date_closed","approx_date_reopened"
"M","Completely Locked","2020-06-19T10:14:25.000","M019","Coleman Skatepark","M019","M-03","Coleman Playground","true","Reopened",,"M019-SKATEPARK-01",,"POLYGON ((-73.99327365430604 40.711594490848796, -73.99325481760475 40.71159610706387, -73.99324537854343 40.71159691877108, -73.99324018090589 40.71159736511934, -73.99323816906981 40.711597537899245, -73.99322443888008 40.71159871766151, -73.99321696076667 40.71159936018579, -73.99318126960777 40.71160242611725, -73.99314536661095 40.71160551093581, -73.99313788967943 40.71160615345502, -73.99311991096043 40.71160769855884, -73.99311792160897 40.711607869536984, -73.99305523395572 40.71161325622944, -73.99299436878034 40.711618486309874, -73.99298194509285 40.71161955355887, -73.99296667879693 40.711620865571774, -73.99295921961355 40.71162150627946, -73.99291430001281 40.71162536581387, -73.99288641239018 40.711627762153995, -73.9928789768738 40.71162840195741, -73.99287090230308 40.7116290948509, -73.99286888928178 40.71162926672376, -73.99285844429211 40.71163016478597, -73.99284538627951 40.711631286912024, -73.99283446081499 40.71163222546518, -73.99283431170234 40.71163223806303, -73.99263594584326 40.71164700202503, -73.9925967233123 40.71164992166656, -73.99253236969409 40.7112927911574, -73.99252711348771 40.71124581297048, -73.99300001227566 40.71110248858552, -73.99300436996678 40.711110323294264, -73.99300979253086 40.711120072553456, -73.99307030457243 40.71122886781993, -73.99307983166065 40.711245997908925, -73.9930872384666 40.71125931330623, -73.99311055809225 40.71130123978403, -73.99314198621178 40.7113577460094, -73.9931875228854 40.7114396168474, -73.99321368351019 40.71148664936728, -73.99327365430604 40.711594490848796))","2020-04-09T19:11:11.000","2020-06-19T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q004","Astoria Park Skatepark","Q004-ZN01","Q-01","Astoria Park",,"Reopened","Astoria Park Zone 1","Q004-ZN01-SKATEPARK-01",,"POLYGON ((-73.92532913103746 40.77754482508601, -73.9253681495882 40.77755190490109, -73.92540506004165 40.77756384875399, -73.92543882033837 40.777580319184494, -73.92546847977304 40.777600850921075, -73.92549320029951 40.77762486620279, -73.92551228731465 40.77765168830639, -73.92552520030048 40.77768055956253, -73.92553157767378 40.77771066568524, -73.92553123676115 40.777741159184686, -73.92552418799278 40.77777117918693, -73.92551063131947 40.77779987934767, -73.92549755248544 40.77781864186902, -73.92548168061501 40.77783611486401, -73.92546323512394 40.7778520607407, -73.92541847296698 40.77788771329275, -73.92536768557923 40.77791834702628, -73.92531184025084 40.777943380835566, -73.92525199537542 40.77796233813356, -73.92518928977302 40.77797485945238, -73.92512491425445 40.77798070602748, -73.92509416678789 40.777965887185296, -73.92506700444777 40.77794746055135, -73.9250441516588 40.777925917373366, -73.92502621784257 40.777901832570954, -73.92501368203366 40.777875850317535, -73.92500687987435 40.77784866241922, -73.92500599178315 40.7778209957, -73.92503737264298 40.77778765970123, -73.92496539128877 40.77769230905959, -73.9250029513214 40.77765550295391, -73.92504691507672 40.77762305222997, -73.92509641826497 40.77759559567553, -73.92515048654612 40.77757367295228, -73.92520805686358 40.77755771470452, -73.92526799758902 40.777548035369215, -73.92532913103746 40.77754482508601))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q099","Flushing Meadows Maloof Skate Plaza","Q099-ZN06","Q-15","Flushing Meadows Corona Park","true","Reopened","Pavilion & Astral Fountain","Q099-ZN06-SKATEPARK-01",,"POLYGON ((-73.8433101640278 40.74333554539018, -73.84326537024951 40.74333250375821, -73.84322195187573 40.74332359176664, -73.84318122724184 40.74330908046413, -73.84314443495053 40.743289411888775, -73.84311269247152 40.74326518190204, -73.84308696301694 40.74323712843612, -73.84306803074534 40.743206102643335, -73.84305646884394 40.74317304814018, -73.8430526289499 40.74313896857433, -73.84305662937817 40.74310489969235, -73.84306834691144 40.743071876910065, -73.84308742516636 40.74304090290585, -73.84311328531659 40.743012919719874, -73.84314514274388 40.742988777259264, -73.84318202722584 40.74296920811238, -73.84322281968353 40.74295480868864, -73.84326627946986 40.74294601494251, -73.84331108700837 40.742943095228355, -73.84335588052691 40.742946136842704, -73.8433992986726 40.742955048784246, -73.84344002313972 40.742969559109895, -73.84347681533951 40.742989228492206, -73.84350855782158 40.743013457479044, -73.84353428736732 40.743041510851604, -73.8435532198093 40.743072536568526, -73.84356478193969 40.743105591022236, -73.84356862209381 40.743139670571146, -73.84356462192522 40.74317373947078, -73.84355290462007 40.74320676230311, -73.84353382653401 40.74323773638368, -73.84350796528922 40.74326571966163, -73.84347610904281 40.74328986312375, -73.84343922447187 40.74330943146344, -73.84339843184166 40.74332383186359, -73.84335497182634 40.74333262565909, -73.8433101640278 40.74333554539018))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T13:38:09.000","B018","Canarsie Skatepark","B018-ZN02","B-18","Canarsie Park",,"Reopened","Canarsie Park Zone 2","B018-ZN02-SKATEPARK-01",,"POLYGON ((-73.90074590524101 40.62549478306923, -73.9007638422955 40.62548961695824, -73.9007826364067 40.62548671189056, -73.90080179815939 40.62548614308725, -73.90082083113566 40.62548792632923, -73.90083924137483 40.62549201436346, -73.90085655154948 40.62549830141769, -73.90087231278162 40.625506625011745, -73.90088611527646 40.62551676776743, -73.9008976013077 40.6255284682262, -73.90090647230711 40.625541421755486, -73.90091428191768 40.625540077705736, -73.9009222767556 40.62553975230381, -73.90093023106701 40.62554045345977, -73.9009379167731 40.62554216296671, -73.90094511648016 40.6255448302082, -73.90095162701193 40.62554838116661, -73.9009572629618 40.625552713923575, -73.90096186377235 40.62555770677059, -73.9009652996473 40.62556321641324, -73.9009674727188 40.625569087877736, -73.90096832177521 40.625575154515246, -73.90096782225415 40.62558124250407, -73.90096598741006 40.62558718075676, -73.9009628706792 40.62559280002145, -73.90095856093997 40.6255979409824, -73.90095317896233 40.62560245785933, -73.90094687740195 40.625606222009054, -73.90093983724823 40.62560912642551, -73.90093260006194 40.62563727856493, -73.90091928631601 40.62566411250825, -73.90090027296958 40.62568887304165, -73.90087416966179 40.62571504037571, -73.90085301127765 40.625743682096015, -73.90083719455642 40.62577426093678, -73.90082438763166 40.62579801372484, -73.90080723492918 40.625820117511125, -73.90078609051581 40.625840114234286, -73.90076139467597 40.62585758823183, -73.90074066775706 40.62587022535315, -73.9007225118678 40.625884979112946, -73.90070729384146 40.62590155175695, -73.90069532502318 40.625919604959634, -73.90068684825167 40.62593877151933, -73.90068277478778 40.625951896688434, -73.90067592487016 40.62596433326216, -73.90066648456167 40.62597574190455, -73.90065470961503 40.62598581215645, -73.90065458028107 40.62599171045376, -73.90065316163448 40.625997510380714, -73.900650490558 40.62600304807443, -73.90064664292498 40.626008167810404, -73.90064172768503 40.62601272559934, -73.90063588212658 40.62601659548691, -73.90062927188261 40.62601966595157, -73.90062208027452 40.62602185250277, -73.90061451068118 40.62602309408076, -73.90060677471887 40.62602335394715, -73.90059909104832 40.62602262688779, -73.90059167474838 40.62602093199962, -73.9005847337633 40.62601831719009, -73.90057846299766 40.626014856470455, -73.9005730395937 40.62601064634974, -73.90056861465942 40.62600580492696, -73.90056531327392 40.62600046828898, -73.90056322740152 40.62599478690233, -73.90054744050008 40.62598618858547, -73.90053352000405 40.6259758880965, -73.90052177640804 40.62596411803895, -73.90051247642977 40.625951141596346, -73.90048627044395 40.625909660754544, -73.90047362003405 40.6258957232548, -73.90045821086855 40.6258835033592, -73.9004404372329 40.625873316590265, -73.90042075731749 40.62586542269371, -73.9003996754906 40.62586002472249, -73.90037773167228 40.62585726182391, -73.90035549188731 40.625857203828225, -73.90033352462511 40.62585985302902, -73.90031239375095 40.62586514237636, -73.9002926443266 40.625872933663295, -73.90027478013644 40.62588302921301, -73.90025926251181 40.62589516827563, -73.90024112035437 40.625857168581085, -73.9002868764029 40.62584382023678, -73.9003344930312 40.625835031021396, -73.90038319352422 40.625830944342844, -73.90038794643209 40.625829832716164, -73.90039238112428 40.62582811926583, -73.9003963651551 40.625825852505365, -73.90039978259487 40.62582310167443, -73.90040253286371 40.62581994593166, -73.90040453545393 40.62581647796108, -73.90040573111611 40.62581280127118, -73.9004060842347 40.625809022092575, -73.90040558518677 40.625805252982055, -73.90040424798995 40.62580160471569, -73.90040211267042 40.62579818358956, -73.90039924171842 40.625795090516064, -73.90039571891197 40.62579241742089, -73.90039164814264 40.625790241838615, -73.90036911290159 40.62577751776887, -73.90034969482596 40.62576209573557, -73.90033394403021 40.625744412069174, -73.90032230534268 40.62572496694566, -73.90031510887063 40.62570431087058, -73.9003125582058 40.62568302845904, -73.9003147257231 40.62566172132184, -73.90032154905957 40.62564099185286, -73.9003328358668 40.62562142702386, -73.9003482662025 40.625603580376385, -73.90036740437223 40.62558795672321, -73.9003897084068 40.625574997748394, -73.90041454780801 40.625565070316476, -73.90042302944428 40.62556088393896, -73.90043045955072 40.625555663753055, -73.90043662397582 40.62554956266214, -73.9004413463578 40.625542754314, -73.900444488121 40.625535435802846, -73.90044596149124 40.62552781777465, -73.90044572241125 40.62552011991827, -73.90044377764244 40.62551256376762, -73.90044018477332 40.62550536729845, -73.90043504513963 40.62549873681753, -73.90042850855627 40.62549286426537, -73.90041056791819 40.625481404010685, -73.90039496427538 40.625468105113924, -73.90038202105954 40.62545324071408, -73.90037200373763 40.62543711811958, -73.9003651186448 40.625420068901505, -73.90036246327459 40.62541429336314, -73.90035862423103 40.62540891753048, -73.90035370058368 40.62540408197051, -73.90034782097077 40.625399912867344, -73.90034113887974 40.62539651661547, -73.90033382791448 40.62539398341714, -73.90032607708075 40.625392378273695, -73.90031808723835 40.625391742783144, -73.90031006873834 40.6253920942376, -73.90030222842661 40.625393422910854, -73.90017272662995 40.62541975792376, -73.90015766329658 40.62538583574264, -73.90030978362842 40.625359834643504, -73.90032540759638 40.62536028674373, -73.90034074274837 40.62536261257472, -73.90035540269258 40.6253667541683, -73.90036902238245 40.625372605847566, -73.90038125692105 40.625380023230726, -73.90039180284172 40.62538881874702, -73.90040039336436 40.625398772438785, -73.90040681493804 40.625409634677226, -73.90041090486633 40.62542113336461, -73.90041758512224 40.62543526921863, -73.90042708565143 40.6254484340522, -73.9004391741055 40.62546030347602, -73.90045355189953 40.625470586362646, -73.90046986366332 40.62547902755631, -73.9004877078606 40.62548541958882, -73.90050664624086 40.62548960538968, -73.9005262097442 40.62549148099262, -73.90054591858642 40.62549100095636, -73.90055461324421 40.625485821479245, -73.90056433554538 40.625481841483115, -73.90057480402768 40.62547917599091, -73.90058571364597 40.625477903083926, -73.90059674878013 40.6254780594105, -73.90060758796064 40.625479641090536, -73.90061791923901 40.62548260012692, -73.90062744017415 40.62548685341048, -73.90063587675296 40.62549227553217, -73.90065012643481 40.62549892738474, -73.90066566732062 40.62550360821124, -73.90068203513215 40.62550617802935, -73.90069873949786 40.625506558069986, -73.90071527930587 40.62550473889499, -73.90073115926005 40.62550077410799, -73.90074590524101 40.62549478306923), (-73.90088674309578 40.625574711400084, -73.90088022454674 40.62557815117178, -73.90087304071669 40.62558070875985, -73.90086539618218 40.62558231139853, -73.90085750611574 40.62558291424718, -73.90084959628805 40.62558249858957, -73.90084188887595 40.62558107812511, -73.90083460483697 40.62557869176685, -73.90082794853777 40.62557540813059, -73.90082211130931 40.62557131923476, -73.90081725726128 40.62556654228858, -73.90081352329288 40.62556121248846, -73.90081101673165 40.62555548121446, -73.90080980943335 40.625549509721935, -73.90080993305467 40.62554346913703, -73.9008113861591 40.62553753055741, -73.90081412713087 40.62553186144399, -73.90081807772515 40.625526622922344, -73.90079873491518 40.625522565598295, -73.90077878093841 40.625520979672295, -73.90075875585738 40.62552190703423, -73.90073920101557 40.625525322936866, -73.90071270858468 40.62553022680851, -73.90068558681044 40.625532336715764, -73.90065834042449 40.62553161347142, -73.90063147762557 40.625528071022494, -73.90061471676715 40.625524352693695, -73.90061198239013 40.62552399462431, -73.90059855075954 40.625523570573684, -73.90058554836968 40.62552538468611, -73.90057359229776 40.62552935104548, -73.90056331989729 40.62553526038207, -73.90055532030881 40.62554273948988, -73.90054986581417 40.62555148963211, -73.90054716730829 40.625561164291206, -73.9005472996637 40.62557148707231, -73.90055343525866 40.625603766134105, -73.90055885520738 40.625615825189655, -73.90056642199384 40.62562675054536, -73.9005767693468 40.62563718121791, -73.90058970760397 40.62564669920098, -73.90060530523704 40.62565535768364, -73.90062360594574 40.62566317741452, -73.90063489877376 40.6256688847685, -73.90064553980706 40.62567656279744, -73.90066218547737 40.62569576096937, -73.9006713919306 40.6257151904493, -73.90067396958838 40.625732707799834, -73.9006700072941 40.625748968677165, -73.90065943984439 40.62576410359965, -73.90064205775326 40.62577830419542, -73.90061785520558 40.625791504718336, -73.90058678488477 40.62580373033772, -73.90054881367642 40.62581499362662, -73.90053827179565 40.62582008325411, -73.90052897377008 40.62582642658075, -73.90052117396738 40.625833850026574, -73.9005150842514 40.62584215025757, -73.90051087160754 40.625851101387866, -73.9005086510447 40.62586045947612, -73.9005084832246 40.625869967026105, -73.90051037325824 40.625879367393935, -73.90051426834752 40.62588840118392, -73.90052006248705 40.62589682336252, -73.9005453291088 40.625939733410554, -73.90054835453837 40.62594624408917, -73.90055278006395 40.625952271498726, -73.9005584794784 40.62595764353056, -73.90056528636558 40.625962204250456, -73.90057300708781 40.62596582291538, -73.90058141960131 40.625968395773185, -73.90059028172409 40.625969849672195, -73.90059933822901 40.62597014116666, -73.90060833028812 40.62596926372914, -73.90061699784724 40.62596724054835, -73.9006250926177 40.62596413084415, -73.90063238044833 40.625960024466245, -73.90063865433014 40.62595503920419, -73.90064373203693 40.625949318083336, -73.90064746913266 40.62594302487375, -73.90064975661174 40.62593634138654, -73.90065052918307 40.62592946027667, -73.90064976528063 40.62592257783912, -73.90064748588287 40.625915893106914, -73.9006437580745 40.625909597048306, -73.900638686773 40.625903872559526, -73.90063242065702 40.6258988818625, -73.90062513679604 40.62589477009396, -73.90061889448464 40.62589125627037, -73.90061353027716 40.625886983166254, -73.90060919763302 40.62588207698727, -73.90060602634951 40.62587668012799, -73.90060410719809 40.62587095025802, -73.900603496659 40.62586505582364, -73.90060421338757 40.62585916793991, -73.90060623585308 40.625853458587514, -73.9006095035287 40.62584809521095, -73.9006139239926 40.6258432344207, -73.90061936465992 40.62583901838435, -73.90062566933584 40.625835570338026, -73.90063265231312 40.62583299007882, -73.90064011019112 40.62583135397506, -73.90064782542922 40.62583070956628, -73.90065557107455 40.62583107556726, -73.90066312258234 40.62583244097768, -73.90067025781308 40.6258347668833, -73.90068834529994 40.625836592555196, -73.90070657463251 40.62583602386276, -73.90072440565456 40.62583307744944, -73.90074130755934 40.625827841108126, -73.90075677662263 40.625820471094976, -73.9007703551224 40.625811185842, -73.90078163843728 40.625800261460434, -73.90079029160653 40.62578802274979, -73.90079605643612 40.62577483329814, -73.90081266179794 40.62573928517086, -73.9008363584995 40.625706153851134, -73.90086656382964 40.62567625290269, -73.90087892946465 40.62566391292594, -73.9008884263363 40.62565017556856, -73.90089478912834 40.625635426025276, -73.90089783994827 40.62562007478062, -73.90089749306382 40.625604551309266, -73.90089375965462 40.62558928787056, -73.90088674309578 40.625574711400084))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-21T17:18:56.000","Q128","London Planetree Playground","Q128","Q-09","London Planetree Playground",,"Reopened",,"Q128-SKATEPARK-01",,"POLYGON ((-73.85326431513951 40.686424021408364, -73.85325024457 40.68643165333946, -73.85323470179544 40.686437397713, -73.85321812132128 40.686441094791, -73.85320096473298 40.68644264340363, -73.85318370768904 40.686441998231295, -73.85316683280304 40.68643917880051, -73.85315080836607 40.68643426225285, -73.85313608005706 40.686427386936266, -73.85312305795264 40.68641874248267, -73.85311210587741 40.68640857069516, -73.85310352723252 40.68639715472332, -73.85309756146255 40.686384811854495, -73.85309313315453 40.68636406374102, -73.85308492137736 40.686343995188324, -73.85307309087727 40.686325002632515, -73.85305787387479 40.68630746188374, -73.85304874951527 40.68629675751804, -73.85304203232157 40.6862850665599, -73.85303790023647 40.686272699914596, -73.8530364637336 40.68625998641148, -73.8530377599204 40.68624726469162, -73.85304175611078 40.68623487240631, -73.85304834392858 40.6862231381048, -73.85305734878344 40.686212375843404, -73.85306853226852 40.6862028707804, -73.85308159690052 40.686194875580014, -73.8530961944182 40.68618860231855, -73.85311193643722 40.68618421889596, -73.85312840629736 40.6861818409464, -73.85314516379246 40.68618153274483, -73.85318455871226 40.68618335162468, -73.85322379326311 40.68618010038749, -73.8532617516875 40.68617187216471, -73.85329734986037 40.6861589006099, -73.85332957552059 40.68614155544712, -73.85335750958951 40.686120331691775, -73.85337045249636 40.686111720351256, -73.85338512215063 40.68610489963198, -73.85340109697866 40.686100068010056, -73.85341791650002 40.68609736447813, -73.85343509316102 40.68609686675967, -73.85345213363183 40.686098589535014, -73.85346854590813 40.686102482649396, -73.85348385468335 40.686108433834065, -73.85349761908708 40.68611627143026, -73.85350944332201 40.68612576890549, -73.85351898492449 40.686136653868964, -73.85352596895453 40.68614861079095, -73.8535301938808 40.686161294518186, -73.85353487853054 40.6861871110394, -73.85354403755598 40.68621222274885, -73.85355750869464 40.68623618188293, -73.85357505155967 40.68625856219083, -73.85357999566095 40.68627020943797, -73.85358241666368 40.686282310936186, -73.85358225019519 40.686294551423444, -73.85357950168606 40.68630661212434, -73.8535742416202 40.68631817884875, -73.85356660669692 40.68632895189882, -73.85355679745282 40.68633865146904, -73.85354506641825 40.68634702393526, -73.853531720462 40.68635385176271, -73.85351710658527 40.68635895799115, -73.85350160363316 40.68636220982621, -73.85348561637154 40.686363522233975, -73.85344497438453 40.68636174689491, -73.853404482342 40.68636494887833, -73.85336518735052 40.68637304577081, -73.8533281036718 40.68638582904643, -73.85329418787119 40.68640296853728, -73.85326431513951 40.686424021408364))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-29T09:55:19.000","B380","Robert Venable Skatepark","B380","B-05","Robert E. Venable Park",,"Reopened",,"B380-SKATEPARK-01",,"POLYGON ((-73.86567797161395 40.67475621572707, -73.86566585852059 40.67471117038275, -73.8658604945971 40.6746808285565, -73.86587260899923 40.67472587388185, -73.86567797161395 40.67475621572707))","2020-04-09T19:11:11.000","2020-06-29T00:00:00.000"
"M","Completely Locked","2020-06-22T15:31:44.000","M071","Riverside Park Skatepark","M071-21","M-14","Riverside Park","true","UnderConstruction",,"M071-21-SKATEPARK-01",,"POLYGON ((-73.97062187242594 40.8045785443668, -73.97106343260268 40.804753630120274, -73.97055891580877 40.805488287525165, -73.97011735090042 40.80531319985953, -73.97062187242594 40.8045785443668))","2020-04-09T19:11:11.000",
"Q","Completely Locked","2020-06-21T17:18:56.000","Q015","Forest Park Skatepark","Q015-05","Q-16","Forest Park","true","Reopened","Greenhouse Playground","Q015-05-SKATEPARK-01",,"POLYGON ((-73.85587600637525 40.70175902642057, -73.85583026726434 40.701483539097154, -73.85634504956549 40.701437483032926, -73.85638578912176 40.701709152040884, -73.85587600637525 40.70175902642057))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-23T15:14:01.000","B145","Thomas Greene Skate Spot","B145","B-06","Thomas Greene Playground",,"Reopened",,"B145-SKATEPARK-01",,"POLYGON ((-73.98534535168307 40.680264359965385, -73.98504023554229 40.68014495122233, -73.98516655982132 40.679952333149366, -73.98547402336833 40.68007138435256, -73.98534535168307 40.680264359965385))","2020-04-09T19:11:11.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-23T15:33:52.000","B058","McCarren Park Skatepark","B058-ZN01","B-01","McCarren Park",,"Reopened","McCarren Park Zone 1","B058-ZN01-SKATEPARK-01",,"POLYGON ((-73.94995887260497 40.719443295650784, -73.94979954546338 40.71945841519095, -73.94977440745909 40.71945727138585, -73.94974984580664 40.71945304628179, -73.94972650665181 40.71944584912303, -73.94970500767181 40.719435871988686, -73.94968591678018 40.71942337717647, -73.94966973792589 40.719408694494476, -73.94963444897544 40.71937877672914, -73.9495944325081 40.71935252826224, -73.94955034152264 40.719330378918265, -73.94950289771342 40.71931268921315, -73.94945287490206 40.719299748546185, -73.94940109194154 40.71929176889375, -73.94935756350127 40.7192926547677, -73.94934955854796 40.71923574261886, -73.94938009215309 40.71923396943594, -73.94937892665953 40.71922265131431, -73.94941219951622 40.71922177263311, -73.94941336541116 40.71923256935937, -73.94951201103149 40.71922844239876, -73.94979695980584 40.71925358497165, -73.94985495409506 40.719266292127294, -73.94990964004671 40.71928571291713, -73.94995968770867 40.719311374000014, -73.95000387375805 40.71934264899627, -73.95004112291079 40.71937877741566, -73.95005359184198 40.719454431063426, -73.94999291493785 40.71945969071775, -73.94999137070874 40.719456109619514, -73.9499890427699 40.71945278392568, -73.94998599969497 40.71944981092097, -73.94998233136859 40.719447278894464, -73.94997814543864 40.71944526263512, -73.94997356850033 40.71944382343261, -73.94996873426484 40.719443002768394, -73.94996378710844 40.71944282501905, -73.94995887260497 40.719443295650784))","2020-04-09T19:11:11.000","2020-06-23T00:00:00.000"
"B","Completely Locked","2020-06-23T15:15:02.000","B066","Owl's Head Millenium Skatepark","B066","B-10","Owl's Head Park",,"Reopened",,"B066-SKATEPARK-01",,"POLYGON ((-74.03034924624447 40.64095688278275, -74.03035094782078 40.64094744039737, -74.03035053800389 40.64093791482098, -74.0303480299223 40.64092857800673, -74.03034349344564 40.640919695588984, -74.03033705991079 40.64091152147907, -74.03032891029615 40.640904288863176, -74.0303192799476 40.640898204798255, -74.03030844202452 40.64089344211137, -74.03029670749898 40.640890137599165, -74.03028440860183 40.64088838392724, -74.03027189882441 40.6408882332324, -74.03022347601978 40.64088824867089, -74.03022195228772 40.64084928093464, -74.03029389084868 40.64084687923384, -74.0303027559023 40.640839017172695, -74.0303131736831 40.640832350590095, -74.03032486882546 40.640827054258885, -74.03033753521287 40.64082326964079, -74.03035083715459 40.64082109408012, -74.03036442712147 40.64082058710265, -74.03037794574051 40.64082175960939, -74.03039103598502 40.64082458287817, -74.03040335617511 40.64082898135593, -74.03069481771442 40.640894255454775, -74.03073696810068 40.6408920316222, -74.03074728526657 40.64088515790793, -74.03075895547563 40.640879682336084, -74.0307716560665 40.64087575718017, -74.03078503598653 40.640873492397084, -74.03079872406367 40.64087294842074, -74.03081234083088 40.6408741424626, -74.03097500368133 40.640909837640095, -74.03097946036094 40.640912173285024, -74.0309833805699 40.64091501246417, -74.03098666851945 40.64091828406245, -74.03098924378523 40.64092190885593, -74.0309910401231 40.640925795009636, -74.03099201611309 40.6409298479803, -74.03099214570092 40.640933967817475, -74.03099142647434 40.64093805186265, -74.03098987611894 40.64094199925299, -74.030915682222 40.641141564212575, -74.03091205826865 40.64114538878821, -74.03090765502752 40.641148705680784, -74.0309025930377 40.64115142300488, -74.03089701176107 40.64115346597999, -74.03089106485491 40.641154779633034, -74.03088491425999 40.641155326999304, -74.03087873020284 40.641155093624704, -74.03087268055472 40.641154084867274, -74.03031977829959 40.64102973979967, -74.03034924624447 40.64095688278275))","2020-04-09T19:11:11.000",
"X","Completely Locked","2020-06-22T09:40:23.000","X348","River Avenue Skatepark","X348-02","X-04","River Avenue Parks",,"Reopened","River Avenue Parks","X348-SKATEPARK-01",,"POLYGON ((-73.92708768919606 40.8256027726998, -73.92675190970012 40.82548593940279, -73.92688575754104 40.82527445286449, -73.92702615242833 40.82509799329067, -73.92734746084474 40.825167124623384, -73.92729897986571 40.825248428649076, -73.92708768919606 40.8256027726998))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T09:44:19.000","X034","Mullaly Skatepark","X034-ZN01","X-04","Mullaly Park",,"Reopened","Mullaly Park Zone 1","X034-SKATEPARK-01",,"POLYGON ((-73.9246003455497 40.8309531358078, -73.92460924837172 40.830957875530004, -73.92461707833982 40.83096360509469, -73.92462364711037 40.83097018480226, -73.92462879718342 40.830977457863845, -73.92463240308953 40.830985248601145, -73.92463437849666 40.83099336875447, -73.92463467620273 40.831001623786086, -73.92463328813366 40.83100981468144, -73.9246302488941 40.83101774335412, -73.92450216411392 40.83123040240017, -73.92451972273653 40.831236132036125, -73.92439778099912 40.83144333527897, -73.92409550735194 40.831344498319844, -73.92433873388114 40.830923598429735, -73.92434379294613 40.83091599886983, -73.92435049311241 40.830909171209875, -73.92435863734902 40.83090331793174, -73.92436798242085 40.83089861357161, -73.92437825193875 40.8308951966242, -73.92438914110267 40.830893168645325, -73.92440032619116 40.830892589755834, -73.92441147641775 40.83089347774865, -73.92442226104708 40.83089580539228, -73.9246003455497 40.8309531358078))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T11:09:20.000","X183","Bruckner Playground Skatepark","X183","X-10","Bruckner Playground",,"Reopened",,"X183-SKATEPARK-01",,"POLYGON ((-73.82910897363088 40.826932241791646, -73.82883393984416 40.8268538049306, -73.82891353999733 40.826697864228194, -73.82918700367257 40.82677629857658, -73.82910897363088 40.826932241791646))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T10:51:41.000","X002","Bronx Park Skatepark","X002-ZN03","X-06","Bronx Park",,"Reopened","Bronx Park Zone 3","X002-ZN03-SKATEPARK-01",,"POLYGON ((-73.87144701430084 40.867168668994594, -73.87140901863677 40.86717824929347, -73.871369439579 40.867182828294645, -73.87132941020376 40.867182274888144, -73.8712900763521 40.86717660475937, -73.8712525657891 40.867165979454484, -73.87121795380686 40.867150704540954, -73.87118723003435 40.8671312169633, -73.87116127591864 40.867108075112, -73.87114083391646 40.86708194167942, -73.87112649092312 40.86705356563105, -73.87111865696511 40.86702375966905, -73.87111755694116 40.86699337771048, -73.87112322118176 40.86696329056318, -73.87113548906063 40.866934358915145, -73.87115400785018 40.866907412622204, -73.87117824701126 40.86688322280892, -73.8712075136503 40.86686248297621, -73.87126963620337 40.86691662942214, -73.87132507043579 40.86697480977465, -73.87137336413271 40.86703654988146, -73.87141412325441 40.86710134593855, -73.87144701430084 40.867168668994594))","2020-04-09T19:11:11.000","2020-06-21T00:00:00.000"
