"borough","closuretype","editdate","gispropnum","name","omppropid","parkdistrict","propertyname","red_sign_installed","status","subpropertyname","system","yellow_sign_removed","polygon","approx_date_closed","approx_date_reopened"
"M","Completely Locked","2020-07-07T13:06:13.000","M089","Union Square Park Dog Run","M089","M-05","Union Square Park","true","Reopened",,"M089-DOGAREA0027",,"POLYGON ((-73.99095698122969 40.73539246410823, -73.99105477130713 40.73539453751078, -73.99104830360884 40.73546764833805, -73.99103403797669 40.73554011559476, -73.99101206915823 40.73561146021532, -73.99098254399122 40.735681209440195, -73.9909456566687 40.73574890041796, -73.9908679804496 40.735715537675055, -73.99090808940689 40.73560212909569, -73.99091589388235 40.735598147666074, -73.99092273838033 40.73559324944332, -73.99092843820249 40.73558756588719, -73.99093284061148 40.73558125097264, -73.99093582838347 40.735574473986105, -73.99093731980876 40.73556741592328, -73.99093727579461 40.73556026858935, -73.99093569631579 40.73555322199144, -73.9909326251492 40.73554646614007, -73.99092814395605 40.73554018294412, -73.99095698122969 40.73539246410823))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-07T12:09:00.000","M088","Tompkins Square Park Dog Run","M088","M-03","Tompkins Square Park","true","Reopened",,"M088-DOGAREA0026",,"POLYGON ((-73.98141327542263 40.72645335278594, -73.98142640055646 40.72655378146278, -73.98143702126995 40.7265599030343, -73.98144611230093 40.726567313887074, -73.98145340501247 40.72657579695571, -73.9814586875933 40.72658510276532, -73.98146180387177 40.726594958436905, -73.98146266159955 40.726605074892376, -73.9814612360015 40.72661515315887, -73.98145756858752 40.72662489877651, -73.98145176833617 40.72663402450033, -73.98144400458897 40.726642262005626, -73.9814345058647 40.72664937089298, -73.98142355038902 40.72665514138827, -73.98141146135706 40.726659403347085, -73.98139859272737 40.72666203255598, -73.98138532330364 40.72666295073166, -73.98137204252815 40.72666213182225, -73.98135913982928 40.72665960020455, -73.9813469963357 40.726655428881635, -73.98133596712063 40.726649741281015, -73.98132637528488 40.726642704950066, -73.98131850485659 40.726634525251285, -73.98131258658731 40.72662544355885, -73.98130879322028 40.72661572645172, -73.98124661209 40.726626779093365, -73.98086817284963 40.72646827408767, -73.98088882824217 40.72638551984402, -73.98089958521525 40.72636612286484, -73.98091434376485 40.72634831414522, -73.9809327131373 40.72633256818723, -73.98095420198281 40.726319304545015, -73.98097823966617 40.72630887432112, -73.98100418692034 40.72630155656627, -73.98103135242201 40.72629754477464, -73.98105901409724 40.72629694688783, -73.98108643569437 40.726299778993564, -73.98111288690642 40.72630596442904, -73.98113766467519 40.726315339187096, -73.98141327542263 40.72645335278594))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-08T11:59:33.000","M047","Thomas Jefferson Park Dog Run","M047","M-11","Thomas Jefferson Park","true","Reopened",,"M047-DOGAREA0012",,"POLYGON ((-73.93528895439641 40.79201479100011, -73.93499145468067 40.792436899795426, -73.9348518631686 40.79232025749244, -73.93528895439641 40.79201479100011))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-07T12:33:03.000","M053","Theodore Roosevelt Park Dog Run","M053","M-07","Theodore Roosevelt Park","true","UnderConstruction",,"M053-DOGAREA0014",,"POLYGON ((-73.97356522953291 40.78197268586717, -73.97424393041804 40.782238481257565, -73.97418078172369 40.78233169876838, -73.97408337796693 40.78229357307588, -73.97406535337133 40.78232018064681, -73.9739023202564 40.78225636670947, -73.97384025247192 40.7822264829954, -73.97377469284248 40.78220127295751, -73.97370624900547 40.78218096995847, -73.973635553491 40.782165763243306, -73.9736300615964 40.78218303541052, -73.97341692826605 40.78215737347307, -73.97340520197716 40.782087084807465, -73.9734324725302 40.78206206165226, -73.97346453248055 40.78204056775912, -73.97350060092008 40.782023126136174, -73.9735397998395 40.78201016251532, -73.97356522953291 40.78197268586717))","2020-04-09T15:55:28.000",
"M","Completely Locked","2020-07-07T12:32:36.000","M077","St. Nicholas Park Dog Run","M077-ZN02","M-09","St. Nicholas Park","true","Reopened","St Nicholas Park Zone 02","M077-DOGAREA0022",,"POLYGON ((-73.94928819447615 40.81779472983818, -73.94908488751531 40.8179047151602, -73.94896810799042 40.81805476552868, -73.94906400357422 40.81814772748251, -73.94898340323724 40.81821411428443, -73.94893269433226 40.818198382672485, -73.94887966644707 40.81818795933851, -73.94882527716355 40.8181830311071, -73.94877051021366 40.81818368756256, -73.94871635296325 40.81818991653669, -73.94866378455855 40.818201605904086, -73.94861375340487 40.818218545373405, -73.94856716412866 40.81824042738151, -73.94846181363765 40.81820893049409, -73.94855983625398 40.8179831062837, -73.94875567254309 40.8178002125524, -73.94878831304167 40.81777327698802, -73.94881741796205 40.817744501931095, -73.94885213115737 40.817719574475674, -73.94889158568692 40.81769911827682, -73.94893479379809 40.81768364617531, -73.94898067301423 40.81767354490171, -73.94902807458668 40.81766906788499, -73.94907581194757 40.8176703262609, -73.9491226915267 40.817677288885456, -73.9491675388267 40.817689782346534, -73.94920923042336 40.81770749277871, -73.94928819447615 40.81779472983818))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-07T14:04:51.000","M158","Robert Moses Playground Dog Run","M158","M-06","Robert Moses Playground","true","Reopened",,"M158-DOGAREA0039",,"POLYGON ((-73.96882015296923 40.74814189992805, -73.9692764209563 40.748339412606676, -73.96922548402725 40.74840942597513, -73.9692241155006 40.748408850186, -73.96876521056181 40.74821574906783, -73.96882015296923 40.74814189992805))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-06T15:18:56.000","M071","Riverside Park Dog Run (72nd St)","M071-ZN01","M-14","Riverside Park",,"Reopened","South Lawn","M071-DOGAREA0019",,"POLYGON ((-73.98658491354698 40.781352949592055, -73.9865825469956 40.78132154881896, -73.9865784558888 40.78131212279023, -73.986571547345 40.78130424889821, -73.98654645091727 40.78128941650741, -73.98647969145856 40.781261428302216, -73.98646209138387 40.78125348200901, -73.98644071449563 40.78124030785579, -73.98639001798307 40.78120049069452, -73.98633930930296 40.7811509850102, -73.98632146443451 40.781129632895734, -73.9863113613938 40.781113674803755, -73.98630840116296 40.78104918231199, -73.9863124420709 40.78103168514087, -73.9863210184149 40.78101716286557, -73.98633657935973 40.781003266366234, -73.98635926329426 40.78099103033298, -73.98638995762043 40.78097998030206, -73.98642952364247 40.7809698119988, -73.98652355047176 40.780995555773714, -73.98654360931882 40.78100604085963, -73.98665642719891 40.78110898133763, -73.98668149561237 40.781145199719425, -73.98670955215272 40.78117947065483, -73.98672575356208 40.78120319984447, -73.98673948319203 40.78122989049786, -73.98674917647804 40.78125766579007, -73.98677675495885 40.78127768261047, -73.98688799853169 40.78129399350365, -73.98679186923785 40.78142510819374, -73.98678217640959 40.78141868560415, -73.98677417216473 40.78141603180755, -73.98673786088492 40.78141682097654, -73.98671278359042 40.78142444173591, -73.98669146969297 40.78142158018325, -73.9866689012784 40.78142443666788, -73.98664633802245 40.7814015613102, -73.98662251796225 40.781395840361164, -73.98660621936634 40.781395838468, -73.98658129236954 40.781398311948074, -73.98656484805097 40.78137486726903, -73.98658491354698 40.781352949592055))","2020-04-09T13:40:49.000","2020-07-06T00:00:00.000"
"M","Completely Locked","2020-07-07T12:07:06.000","M071","Riverside Park Dog Run (87th St)","M071-ZN06","M-14","Riverside Park",,"Reopened","Serpentine Promenade","M071-DOGAREA0018",,"POLYGON ((-73.98093357866503 40.78998674582571, -73.9805493714697 40.79063891237982, -73.9805401912691 40.790655659239164, -73.98052740841796 40.79067098089737, -73.98051139152614 40.79068443346877, -73.98049260634504 40.790695627114104, -73.98047159562175 40.79070423774388, -73.98044896843321 40.79071001602155, -73.98042538004128 40.79071279546486, -73.98040151174972 40.790712494243515, -73.98037805786899 40.790709121480546, -73.98035569491051 40.79070277544611, -73.98033507210913 40.790693639053146, -73.98031678535666 40.790681978052056, -73.98030136535745 40.79066812932183, -73.98028925867264 40.790652493662655, -73.9802808146909 40.7906355240871, -73.98027627970838 40.790617712311416, -73.98027578271551 40.790599573444425, -73.98027934014056 40.79058163428184, -73.98028684874717 40.79056441259334, -73.98071807842233 40.78992118864942, -73.98072919677895 40.78990872397852, -73.98074292125942 40.789897862633026, -73.98075885960002 40.789888916119835, -73.9807765543885 40.7898821419049, -73.98079549965485 40.789877732610236, -73.980815151535 40.78987581421477, -73.98083494841269 40.78987644335631, -73.98085432158503 40.78987960102982, -73.98087271540211 40.78988519709322, -73.98088960503897 40.789893071170866, -73.98090450597246 40.78990299715742, -73.98091698938177 40.78991469042448, -73.98092669991749 40.78992781772881, -73.98093335807053 40.78994200081457, -73.98093677320011 40.78995683442554, -73.98093684708599 40.78997189350937, -73.98093357866503 40.78998674582571))","2020-04-09T13:40:49.000","2020-07-07T00:00:00.000"
"M","Completely Locked","2020-07-07T12:32:20.000","M056","Morningside Park Dog Run","M056-ZN01","M-09","Morningside Park","true","Reopened","Morningside Park Zone 1","M056-DOGAREA0015",,"POLYGON ((-73.95902744007678 40.80451424001104, -73.95901576821065 40.80450664645971, -73.95900414733198 40.8044990097014, -73.958994768932 40.80449278482092, -73.95899257862482 40.80449133153752, -73.95898106208902 40.80448361196812, -73.95896959891036 40.804475850093084, -73.95895818908818 40.804468046812936, -73.95894683262257 40.80446020212776, -73.95893552951347 40.80445231603751, -73.95892427976037 40.8044443894427, -73.95891308454891 40.8044364214433, -73.95890194506296 40.8044284138407, -73.95889085893361 40.80442036483315, -73.95887982852925 40.80441227712294, -73.95886885385158 40.804404148008615, -73.95885793371387 40.804395980191245, -73.95884707048677 40.8043877727712, -73.95883626298527 40.80437952574804, -73.95882551120874 40.80437124002238, -73.95882138660602 40.80436830022207, -73.95881729639682 40.80436531811044, -73.95881324058132 40.80436229368755, -73.95880922034337 40.80435922875476, -73.95880523568364 40.80435612241162, -73.95880128897107 40.80435297645993, -73.9587973790206 40.80434979089933, -73.958793508203 40.80434656483018, -73.9587907780515 40.80434424056776, -73.95883136840021 40.80432242608294, -73.95911491092204 40.804170041954016, -73.95922776068207 40.80421773360985, -73.95946892271303 40.8044545282272, -73.95946917963903 40.80445880658647, -73.95946967869538 40.80446636104486, -73.95947000698156 40.80447216577437, -73.95947029852724 40.80447797589399, -73.95947055096113 40.80448379320378, -73.95947076428432 40.80448961590286, -73.95947093968186 40.804495443991556, -73.9594710771549 40.80450127566897, -73.95947117433211 40.80450711273512, -73.95947123477038 40.80451295248986, -73.9594712549145 40.804518794931965, -73.95947123831968 40.8045246400626, -73.95947118143117 40.80453048698013, -73.95947108661919 40.80453633568527, -73.95947095388482 40.80454218437703, -73.95947078204289 40.804548033055106, -73.95947057109295 40.80455388261991, -73.9594705290127 40.804554872253064, -73.95947032222163 40.80455973037038, -73.95947003424334 40.80456557720654, -73.95946970834419 40.80457142132794, -73.9594693445237 40.80457726363497, -73.95946894159782 40.80458310232626, -73.95946850075107 40.80458893830271, -73.95946802080007 40.80459476886242, -73.95946750292875 40.80460059580678, -73.95946694713814 40.804606417334796, -73.95946635224377 40.804612232545566, -73.95946572061577 40.80461804143995, -73.95946504988403 40.80462384401708, -73.95946434123402 40.8046296393769, -73.95946359466697 40.80463542571833, -73.95946281018173 40.80464120484246, -73.95946198777993 40.80464697404778, -73.95946112864603 40.80465273423518, -73.95946023041107 40.80465848360281, -73.95945884651219 40.80466192932427, -73.95945739151898 40.8046653579112, -73.95945586661644 40.80466876936405, -73.95945427180523 40.80467216278235, -73.95945260708629 40.80467553636504, -73.95945087482984 40.80467889011299, -73.95944907266575 40.804682224025335, -73.95944720296573 40.80468553540147, -73.95944596208972 40.804687643932645, -73.95944526691439 40.80468882514221, -73.95944326214257 40.804692091445844, -73.95944119102052 40.804695334313095, -73.95943905354929 40.804698551942984, -73.9594368509133 40.80470174523647, -73.95943458311434 40.804704911492, -73.95943225015232 40.80470805070966, -73.95942985439738 40.80471116289013, -73.95942739347998 40.80471424713218, -73.959424870957 40.80471730073557, -73.95942228564213 40.80472032550082, -73.95941963872166 40.804723319627364, -73.95941693019607 40.804726282214745, -73.9594141624356 40.80472921326373, -73.95941133425617 40.80473211097294, -73.95940844684236 40.804734976243296, -73.95940550138081 40.80473780637363, -73.95940249787105 40.80474060226452, -73.95939943749873 40.80474336301591, -73.95939632144942 40.80474608772762, -73.95939314972367 40.804748775499185, -73.95938992232203 40.80475142543015, -73.95938664161467 40.804754037521285, -73.95938330878668 40.80475661177299, -73.95937992265402 40.80475914638393, -73.95937648440241 40.80476164045391, -73.95937299640138 40.80476409488436, -73.95936945746645 40.80476650877431, -73.95936586996885 40.80476888032357, -73.95936223390858 40.8047712095322, -73.95935855047075 40.80477349640058, -73.95935482084099 40.80477574002858, -73.95935104620487 40.804777939516214, -73.9593502804446 40.804778265226666, -73.95934948271805 40.804778540497935, -73.95934865539522 40.80477876533086, -73.95934780677405 40.80477893612634, -73.95934694159416 40.80477905378654, -73.95934606578263 40.80477911561209, -73.9593451840793 40.80477912250511, -73.95934430477968 40.8047790744686, -73.95934343262459 40.8047789706037, -73.95934257472295 40.80477881361437, -73.95934173463053 40.804778602601424, -73.95934092064172 40.80477833936873, -73.95934013631013 40.804778026619104, -73.95933938874573 40.804777665255514, -73.959338681501 40.804777259781694, -73.95933802050135 40.80477681019973, -73.9593374092986 40.80477632191394, -73.95933685263158 40.8047757976274, -73.95933635523883 40.804775240043355, -73.9593359183028 40.804774653664666, -73.95933554656094 40.80477404299548, -73.9593352423812 40.80477341163867, -73.95933500694659 40.80477276319666, -73.95933484380835 40.80477210397416, -73.95933475177986 40.80477143667226, -73.9593303267828 40.80476547200963, -73.95932583658956 40.80475953613985, -73.95932128119965 40.8047536299633, -73.95931666061304 40.80474775348, -73.95931197601429 40.804741907590866, -73.95930722621885 40.80473609139502, -73.95930241241079 40.80473030669378, -73.95929753459059 40.804724552586684, -73.95929259275721 40.80471883087476, -73.9592875892813 40.804713140658244, -73.95928252179168 40.80470748373738, -73.95927739265905 40.80470185921244, -73.95927220188285 40.804696267984, -73.95926694946252 40.804690710952414, -73.95926163421362 40.80468518721687, -73.95925625969016 40.80467969857952, -73.95925082352267 40.80467424413913, -73.95924532808014 40.80466882569744, -73.95923977336258 40.80466344325444, -73.9592341581855 40.804658095909296, -73.95922848491793 40.80465278546372, -73.9592227523748 40.804647511917345, -73.95921696174116 40.80464227527059, -73.95920846040403 40.80463581208579, -73.95919990452803 40.80462939300549, -73.95919129529926 40.804623016229115, -73.95918263153156 40.80461668355718, -73.95917391559566 40.80461039409005, -73.95916514630538 40.80460414962828, -73.95915632484628 40.80459794927181, -73.95914745240353 40.80459179302099, -73.95913852779084 40.80458568267643, -73.9591295510094 40.80457961643709, -73.95912052442823 40.804573596104845, -73.95911144686217 40.80456762167922, -73.95910232068097 40.804561694061576, -73.95909314351543 40.80455581145, -73.95908391773409 40.80454997654691, -73.95907464333807 40.80454418755122, -73.95906276633815 40.80453676502658, -73.95905094032564 40.80452929929492, -73.95903916411491 40.8045217912563, -73.95902744007678 40.80451424001104))","2020-04-06T00:00:00.000","2020-07-06T00:00:00.000"
"Q","Completely Locked","2020-07-06T14:13:44.000","Q021","Cunningham Park Dog Run","Q021-ZN01","Q-08","Cunningham Park",,"Reopened","Cunningham Park Zone 1","Q021-DOGAREA0007",,"POLYGON ((-73.77558320973888 40.72648714570859, -73.77564759599956 40.72646623072076, -73.77576945083251 40.72672063305801, -73.77546829252624 40.72682644796778, -73.77543035953857 40.7267618856366, -73.77552098648296 40.72673106943803, -73.77544796645316 40.72660678339282, -73.77536732252099 40.72663420516991, -73.77533125636889 40.726572818949265, -73.77558320973888 40.72648714570859))","2020-04-09T14:15:13.000","2020-07-06T14:00:00.000"
