"approx_date_closed","approx_date_reopened","bin","borough","closuretype","doittid","editdate","gispropnum","omppropid","parkdistrict","status","system","polygon"
"2020-06-01T17:43:35.000","2020-06-21T00:00:00.000","2118252","X",,,"2020-08-12T21:58:09.000","X108","X108","X-06","Reopened","X108-BLG0832","POLYGON ((-73.88744037925093 40.85066212486734, -73.88745578301634 40.85059475785655, -73.88751278228796 40.85060227222819, -73.88749737857697 40.85066964014696, -73.88744037925093 40.85066212486734))"
"2020-06-01T16:54:29.000",,"3144249","B","Completely Locked",,"2020-08-12T21:58:09.000","B066","B066","B-10","COVID-19 Closure","B066-BLG1112","POLYGON ((-74.03201768415964 40.63932127322735, -74.03195220390442 40.63930092441024, -74.03195008267741 40.63930488728172, -74.03191241526062 40.63929318199365, -74.03193983296215 40.6392419825973, -74.0319775003548 40.63925368787649, -74.03197615155881 40.63925620790277, -74.03204163059486 40.63927655580612, -74.03204329828121 40.63927344134788, -74.03208180870169 40.63928540840889, -74.03205481509879 40.639335814363704, -74.03201630583575 40.63932384639289, -74.03201768415964 40.63932127322735))"
"2020-05-14T13:12:45.000","2020-06-22T00:00:00.000","3347243","B",,,"2020-08-12T21:58:09.000","B073","B073-20","B-19","Reopened","B073-ZN04-BLG1244","POLYGON ((-73.97662642108618 40.663590058511794, -73.97652666207738 40.66354211633144, -73.97652406102421 40.663543768247784, -73.9765209493207 40.663544795101615, -73.97651758006657 40.66354511229611, -73.9765142276268 40.66354469557326, -73.97651116516339 40.663543578307944, -73.97648042418196 40.663580669689956, -73.9763955170277 40.663539865220855, -73.97640864797705 40.663524020631364, -73.97642690991177 40.66350198604332, -73.97642532199067 40.66350122298072, -73.97642356063362 40.663499323431196, -73.97642280086795 40.66349755105969, -73.97642275777113 40.663495688783456, -73.9764234371986 40.6634938986966, -73.97646132154206 40.66344824668369, -73.97648300144445 40.66345866558726, -73.97651053033181 40.66342544846918, -73.97657829629003 40.66344880366564, -73.97659905797325 40.66342375102885, -73.97660065106082 40.663419899845316, -73.97660264396319 40.66341574346807, -73.9766050201101 40.663411322417, -73.97660775465177 40.663406681712786, -73.97661082037351 40.663401865475215, -73.9766141865115 40.663396922325845, -73.97661782230155 40.6633919017868, -73.97662168870167 40.66338685247802, -73.97662574903472 40.66338182482083, -73.97662996307596 40.66337686833554, -73.97663428941821 40.66337203254208, -73.97663868428997 40.66336736425834, -73.9766431039197 40.66336291120289, -73.97664750690275 40.66335871569145, -73.97665184710392 40.66335482093953, -73.97665608312056 40.66335126385982, -73.97666017236769 40.663348080464424, -73.97666407462715 40.66334530226322, -73.97668332547126 40.66332207375018, -73.97662707793505 40.663284822389556, -73.97665543482414 40.66325060583142, -73.97663375614505 40.66324018696035, -73.97667013536461 40.66319629147874, -73.9766719368082 40.663195151790624, -73.9766741306853 40.66319452007311, -73.97667615288469 40.66319447725841, -73.97667707410855 40.663194458534356, -73.97668044030289 40.66319607564334, -73.97671243977386 40.663157464389656, -73.97679834218775 40.66319874700157, -73.97676634156414 40.6632373582787, -73.97676927501627 40.66323876817896, -73.9767712897066 40.66323991674391, -73.97677262070818 40.663241543344874, -73.97677308598301 40.66324342641818, -73.9767726146534 40.663245347124025, -73.9767712967218 40.66324693897051, -73.976871055465 40.66329488094036, -73.97678808610925 40.663394991720644, -73.97678419020077 40.663393119661855, -73.97670963693515 40.663483077862494, -73.97671353166425 40.66348494992355, -73.97662642108618 40.663590058511794))"
"2020-05-12T14:42:56.000",,,"M","Completely Locked",,"2020-08-12T21:58:09.000","M065","M065","M-03","UnderConstruction","M065-BLG0001","POLYGON ((-73.98164991875728 40.715897311078756, -73.98160269060403 40.715985326615126, -73.98153817653333 40.715964935940114, -73.98158595613013 40.71587741850033, -73.98164991875728 40.715897311078756))"
"2020-05-12T14:42:55.000","2020-06-23T00:00:00.000",,"B",,,"2020-08-12T21:58:09.000","B395","B395","B-04","Reopened","B395-BLG0001","POLYGON ((-73.93348681079918 40.702167357119116, -73.93344647404162 40.70207448109962, -73.93351830019259 40.70205641331001, -73.93355863585599 40.702149289303854, -73.93348681079918 40.702167357119116))"
"2020-05-29T14:03:07.000","2020-06-22T00:00:00.000","3347138","B","Completely Locked","667519","2020-08-12T21:58:09.000","B251","B251-ZN02","B-15","Reopened","B251-ZN02-BLG1172","POLYGON ((-73.9435658285549 40.5769038122806, -73.9435780216291 40.576902349514214, -73.94365134897089 40.57689354955794, -73.94364992808497 40.57688666795387, -73.94364598183877 40.576867550586215, -73.94375145190313 40.576854893172985, -73.94375681083835 40.5768808561148, -73.94400148587616 40.57685149336997, -73.9440061120977 40.57687390787669, -73.94415200001663 40.57685640065266, -73.94414877938641 40.576840800202916, -73.94438294066487 40.576812697671215, -73.9443780990573 40.57678924387013, -73.94448708869209 40.57677616333854, -73.94449295724561 40.57680459212819, -73.944559812827 40.57679656831913, -73.94458503987349 40.57679354031993, -73.94461591682004 40.576943112504, -73.94458436227306 40.57694689930166, -73.94460903657868 40.577066431501954, -73.94420480308659 40.57711494435511, -73.94420757793279 40.57712838512887, -73.9440505144848 40.57714723416585, -73.94404582235825 40.577124500843695, -73.94372216569873 40.57716334176132, -73.94364589697958 40.57717249512657, -73.94360470306177 40.576972927708525, -73.94358068895222 40.57697580930271, -73.9435662402306 40.57690580894549, -73.9435658285549 40.5769038122806), (-73.94373925563 40.57713498091158, -73.94404389814461 40.57710230197994, -73.94403712258033 40.577065579796994, -73.94419369517468 40.57704878373552, -73.94420237548387 40.57709582864515, -73.94459116349441 40.577054121719726, -73.9445889519031 40.577042136474304, -73.94422207302586 40.57708149375704, -73.9442172796247 40.57705551490269, -73.94458230278568 40.57701635665646, -73.94457978902597 40.57700273771377, -73.94424551939932 40.57703859695137, -73.94424033918239 40.57701051968825, -73.94457413030857 40.57697471156472, -73.94457205981364 40.57696349003167, -73.94423910026883 40.576999207599805, -73.94423399412534 40.57697153470771, -73.94455339992975 40.57693727036375, -73.94455120833773 40.57692539228949, -73.94422994701313 40.576959855643075, -73.94422473506218 40.57693160906507, -73.94454656910683 40.57689708476683, -73.94454137349108 40.57686892286025, -73.9441831757525 40.57690734856449, -73.94419675758702 40.57698095682401, -73.94397311741618 40.57700494690996, -73.94396009780104 40.57693438717343, -73.94389172613666 40.576941721892396, -73.94369604721615 40.576962711936986, -73.94370416519456 40.57700671103557, -73.94373151342472 40.577003777017225, -73.94375257088758 40.57711790538411, -73.94375271314806 40.57711867180008, -73.94375165365913 40.57711878564794, -73.94372412112462 40.57712173849179, -73.94372680988207 40.577136315696855, -73.94373925563 40.57713498091158))"
,,,"B",,,"2020-08-12T21:58:08.000","B245","B245","B-08","Active","B245-BLG1090","POLYGON ((-73.93535772148581 40.673733131773105, -73.93535771193129 40.67373322722236, -73.93534779465035 40.67383318604848, -73.93525705891372 40.67382796786809, -73.93526698588448 40.67372791360045, -73.93535772148581 40.673733131773105))"
,,,"B",,,"2020-08-12T21:58:08.000","B169","B169-ZN06B","B-13","Active","B169-BLG6348","POLYGON ((-73.98860860281384 40.572369070280494, -73.98845081692103 40.57240743488457, -73.98842891216403 40.57235505096465, -73.98858669794585 40.57231668548995, -73.98860860281384 40.572369070280494))"
"2020-05-12T14:42:50.000","2020-06-21T00:00:00.000",,"M","Completely Locked",,"2020-08-12T21:58:08.000","M010","M010-195","M-13","Reopened","M010-195-BLG0750","POLYGON ((-73.95455880005494 40.790412274265464, -73.95453248053386 40.790392964355746, -73.9545685161578 40.79036459208406, -73.95459483567875 40.79038390108515, -73.95455880005494 40.790412274265464))"
"2020-05-12T14:42:48.000","2020-06-22T00:00:00.000",,"B","Completely Locked",,"2020-08-12T21:58:08.000","B311","B311","B-01","Reopened","B311-BLG0001","POLYGON ((-73.9389528847949 40.70906358836026, -73.93888023974829 40.70906986689838, -73.93886592363177 40.708973956649054, -73.93893856857603 40.70896767721937, -73.9389528847949 40.70906358836026))"
"2020-05-12T14:42:47.000","2020-06-21T00:00:00.000","3424960","B","Completely Locked","1288972","2020-08-12T21:58:08.000","B096","B096","B-01","Reopened","B096-BLG0001","POLYGON ((-73.93690325680954 40.72359021832642, -73.936868253185 40.72351395659962, -73.93690584348869 40.72350349347278, -73.9369002183039 40.72349157754952, -73.93700547125498 40.72346209036653, -73.93703486076927 40.72351357056205, -73.9369966371296 40.723531657998535, -73.93700413564075 40.72355024591649, -73.93690325680954 40.72359021832642))"
,,"2123826","X",,"1288652","2020-08-12T21:58:08.000","X126","X126","X-10","Active","X126-BLG4105","POLYGON ((-73.83859741528869 40.812105666385484, -73.8384511057131 40.81192057372384, -73.83852245959538 40.81188801438657, -73.83866876929781 40.81207310695865, -73.83859741528869 40.812105666385484))"
"2020-05-12T14:42:45.000","2020-06-21T00:00:00.000","2129354","X",,"1287815","2020-08-12T21:58:08.000","X353",,"X-03","Reopened","X353-BLG0002","POLYGON ((-73.91398430479347 40.82286923028593, -73.91395584391617 40.822922833604366, -73.91383416315288 40.822885551347824, -73.9138626241123 40.822831948059104, -73.91398430479347 40.82286923028593))"
,,,"X",,,"2020-08-12T21:58:08.000","X001A",,"X-05","Active","X001A-BLG0001","POLYGON ((-73.90805620466398 40.85839330819781, -73.90800404003221 40.858450206452225, -73.90792876005038 40.85841156847337, -73.90798163384713 40.85835389819702, -73.90805620466398 40.85839330819781))"
"2020-05-12T14:42:43.000",,,"X",,,"2020-08-12T21:58:08.000","X029",,"X-02","UnderConstruction","X029-BLG0001","POLYGON ((-73.88837634765221 40.822664826221825, -73.8883070312411 40.82266777846647, -73.88829982782413 40.822570174767435, -73.88836914413389 40.82256722252703, -73.88836924150309 40.82256853644588, -73.88837634765221 40.822664826221825))"
"2020-05-12T14:42:42.000","2020-06-21T00:00:00.000",,"X",,,"2020-08-12T21:58:07.000","X238",,"X-01","Reopened","X238-BLG0001","POLYGON ((-73.91937335083772 40.808881077466324, -73.91930953712617 40.808966406358905, -73.91924987333634 40.80894064635419, -73.91931368709969 40.80885531749427, -73.91937335083772 40.808881077466324))"
"2020-05-28T16:55:11.000","2020-06-23T00:00:00.000",,"B","Completely Locked",,"2020-08-12T21:58:07.000","B052","B052","B-10","Reopened","B052-BLG0001","POLYGON ((-74.01288418839596 40.631482661839314, -74.01281498711735 40.63144067565316, -74.01291193110268 40.63134793292382, -74.0129811323461 40.63138991905206, -74.01288418839596 40.631482661839314))"
,,"4610457","Q",,"1267244","2020-08-12T21:58:07.000","Q300","Q300-ZN03","Q-07","Active","Q300-ZN03-BLG0457","POLYGON ((-73.81719786922741 40.745041556093554, -73.81717105088052 40.74497910828153, -73.81731260688478 40.745000007675976, -73.81734193499261 40.745063502223786, -73.81719786922741 40.745041556093554))"
,"2020-06-21T16:56:33.000","4000000","Q",,,"2020-08-12T21:58:07.000","Q050","Q050-ZN08A","Q-14","Reopened","Q050-BLG-092","POLYGON ((-73.83519478833506 40.57800792209364, -73.83509737614173 40.57787865502542, -73.83513933126663 40.577860273372, -73.8351999771144 40.57794075031657, -73.835240247413 40.577925026362564, -73.83519370868149 40.57784668681318, -73.83524372645171 40.577829411726775, -73.83532402732145 40.577964582306116, -73.8353281051244 40.577971445654654, -73.83527808726967 40.577988720777576, -73.83527376129909 40.57798143922748, -73.83525174685778 40.57794438164397, -73.83521431072884 40.57795977197007, -73.83523933807201 40.57799298323359, -73.83524382086419 40.577998932231736, -73.83520186568097 40.57801731392313, -73.83519478833506 40.57800792209364))"
