"approx_date_closed","approx_date_reopened","bin","borough","closuretype","doittid","editdate","gispropnum","omppropid","parkdistrict","status","system","polygon"
,"2020-06-21T16:56:33.000","4301742","Q",,"1260097","2020-08-12T21:58:07.000","Q162H","Q162H","Q-14","Reopened","Q162H-BLG01","POLYGON ((-73.7625404918965 40.59230029016782, -73.76263830298241 40.59227615102657, -73.76265251923489 40.59230962323451, -73.76266265395448 40.59233348740086, -73.76266993137344 40.59235062233599, -73.7627056530977 40.59243473231653, -73.76271376699344 40.59245383842691, -73.76275612546846 40.59255357541888, -73.76275626487953 40.59255390349825, -73.76265845342627 40.592578043639804, -73.76265829175317 40.59257766418435, -73.76261088654732 40.592466043292085, -73.76260781953832 40.5924588210393, -73.76257274928066 40.59237624507003, -73.76256337372607 40.59235416730749, -73.7625404918965 40.59230029016782))"
"2020-05-12T14:42:36.000","2020-06-21T16:56:33.000","4615795","Q","Completely Locked","1264570","2020-08-12T21:58:07.000","Q407","Q407","Q-14","Reopened","Q407-BLG-01","POLYGON ((-73.74419776695555 40.59924923727471, -73.74427281711196 40.599240137888316, -73.74429376936016 40.599340534643694, -73.74421871909028 40.599349634944254, -73.74419776695555 40.59924923727471))"
,,"3424020","B",,"1264308","2020-08-12T21:58:07.000","B169","B169-ZN07C","B-13","Active","B169-ZN07C-BLG1147","POLYGON ((-73.99870795157938 40.57175772493191, -73.99871400324153 40.57173179619345, -73.9988595153657 40.57175154623592, -73.9988534637583 40.57177747498204, -73.99870795157938 40.57175772493191))"
,,"3000000","B",,,"2020-08-12T21:58:07.000","B169","B169-ZN03A","B-13","Active","B169-ZN03A-BLG2859","POLYGON ((-73.96541259373475 40.57469706963136, -73.96535829964911 40.574701818847544, -73.96534118162337 40.574571065632924, -73.96539584562868 40.574567875344115, -73.96540170058995 40.57461426942803, -73.96544505688796 40.574612793910475, -73.96544432146172 40.57456420949225, -73.96549850728114 40.57456305869872, -73.96549967698766 40.57464207467122, -73.96550047808955 40.57469620273723, -73.96544552450571 40.574697369510154, -73.96544485454034 40.574643238781626, -73.96544465842888 40.57462738679004, -73.96540364686031 40.574627970593816, -73.96540573124696 40.57464406989786, -73.96541259373475 40.57469706963136))"
"2020-05-12T14:42:29.000","2020-06-21T00:00:00.000",,"M","Completely Locked",,"2020-08-12T21:58:06.000","M386","M386","M-01","Reopened","M386-BLG9990","POLYGON ((-74.00403693570121 40.7062512812064, -74.00403314084528 40.70625254115485, -74.0040292063397 40.706253521949485, -74.0040176792999 40.7062494781559, -74.00400709056325 40.706244152000274, -74.003997683903 40.70623766684454, -74.00398967824371 40.70623017036523, -74.0039832581948 40.706221838155926, -74.00397928532864 40.70621452434003, -74.00397653837116 40.706206891700674, -74.00397609908548 40.70620234233244, -74.00397634494564 40.7061977848359, -74.00397729505269 40.70619603601001, -74.00397855283163 40.70619440333945, -74.00398009343436 40.70619291834292, -74.00398188964613 40.706191608937274, -74.00398914924394 40.70618974552791, -74.00399667750325 40.706188662852114, -74.0040062399524 40.70618843829236, -74.00401571136096 40.70618946994837, -74.00402480654604 40.70619172811323, -74.0040332545221 40.706195145258114, -74.00404080323466 40.70619961873388, -74.00404822769663 40.70620405439199, -74.00405483452292 40.7062091852732, -74.00406051247539 40.70621492313143, -74.00406129968916 40.70621986691107, -74.00406111066013 40.706224845845085, -74.00405994774785 40.7062297464689, -74.0040578393455 40.70623446162074, -74.00405500671526 40.706238665307595, -74.00405142265053 40.706242521423455, -74.00404667063556 40.706246288429625, -74.00404202387432 40.706249034252004, -74.00403693570121 40.7062512812064))"
,,,"M",,,"2020-08-12T21:58:07.000","M008","M008","M-05","Active","M008-BLG10386","POLYGON ((-73.98270805093594 40.754010899132034, -73.98266164637079 40.754075564657846, -73.98259943406909 40.754049747691056, -73.98264583867663 40.75398508219009, -73.98270805093594 40.754010899132034))"
,,"1087583","M",,"1264532","2020-08-12T21:58:06.000","M391","M391-ZN01","M-01","Active","M391-ZN01-BLG9991","POLYGON ((-74.00337931361076 40.70483679342685, -74.00288602277688 40.70439117970636, -74.00307124553122 40.70427243165486, -74.00331319358845 40.70449099441342, -74.0032116568678 40.70455609166995, -74.00345504182698 40.704775951719384, -74.0035575359021 40.704710240972034, -74.00377219283433 40.70490414848897, -74.00375302755371 40.70491643569459, -74.00392413531989 40.705071000987445, -74.00377619775914 40.70516584690558, -74.00337931361076 40.70483679342685))"
"2020-05-12T14:42:28.000","2020-06-21T00:00:00.000","1090517","M","Completely Locked","1283804","2020-08-12T21:58:06.000","M308","M308","M-01","Reopened","M308-BLG9989","POLYGON ((-74.01156925219986 40.71747319161639, -74.01150623766789 40.71750744792998, -74.01145006066412 40.71750240887363, -74.01143054700603 40.71748370992089, -74.01145923581953 40.71747749174871, -74.01148626947504 40.71746789682183, -74.01151096629938 40.717455165645866, -74.01153270262787 40.71743962156783, -74.01156925219986 40.71747319161639))"
"2020-05-12T14:42:27.000",,"1054276","M","Completely Locked","641683","2020-08-12T21:58:06.000","M204","M204","M-11","COVID-19 Closure","M204-BLG9988","POLYGON ((-73.93939049178199 40.81001533767278, -73.93889735601431 40.809808300525816, -73.93866272759279 40.809709793829484, -73.93875915748893 40.809577198136346, -73.93874263200608 40.809570260925256, -73.93876317676076 40.809542008809224, -73.93878015598008 40.80954913806439, -73.93880759404327 40.80951140915754, -73.93896535340325 40.80929447996384, -73.93915022785157 40.80937209706342, -73.9390872271636 40.809458726823514, -73.93909779949625 40.80946316556069, -73.93907725372365 40.8094914168356, -73.93906514600626 40.80948633342898, -73.93900745065696 40.80956566831216, -73.93936753905616 40.809716847451355, -73.93940408085234 40.80966660086617, -73.93941608621154 40.809650091141975, -73.93941678633477 40.809649129778045, -73.9394176514042 40.80964793977432, -73.93945553404028 40.809595847855924, -73.93945680375577 40.80959410155663, -73.93945791683285 40.80959257129455, -73.93950764570711 40.80952419016704, -73.93953832620154 40.809537070775605, -73.93969561945498 40.80960310743323, -73.9395145036791 40.80985215783191, -73.93952596938104 40.809856970704814, -73.93949622116743 40.80989787642536, -73.93948066344443 40.80989134415195, -73.93939049178199 40.81001533767278))"
"2020-05-12T14:42:26.000","2020-06-21T00:00:00.000","1089484","M","Completely Locked","1214744","2020-08-12T21:58:06.000","M089","M089-01","M-05","Reopened","M089-01-BLG9987","POLYGON ((-73.98958618197429 40.73634649212174, -73.98951874446097 40.736316291980025, -73.98955450542364 40.73626309593469, -73.98957370393195 40.736271693921175, -73.98958583266847 40.73625602348276, -73.98959530052363 40.73626026392891, -73.98959666460641 40.73625850085802, -73.98965699823928 40.73628551972329, -73.98961616219744 40.736338280397554, -73.98959861858772 40.73633042368555, -73.98958618197429 40.73634649212174))"
,,,"M",,,"2020-08-12T21:58:06.000","M010","M010-ZN20","M-13","Active","M010-ZN20-BLG9986","POLYGON ((-73.97117726572895 40.77356448517706, -73.97123342575563 40.773423334574964, -73.97136040223292 40.77345242453373, -73.97135662062368 40.773462116607064, -73.97128448998203 40.77364698270454, -73.97121083668253 40.773629409922556, -73.97116794709068 40.77361917668983, -73.97116356953903 40.77361813191152, -73.97115658511771 40.77361646513356, -73.97115922237187 40.77360983629142, -73.97117726572895 40.77356448517706), (-73.97107261777953 40.77355630039647, -73.97106043538957 40.77358800314385, -73.9710584917557 40.773593061680955, -73.97104569074347 40.77359000756117, -73.97096208860277 40.77357006109545, -73.97093199535024 40.77356288100217, -73.97095951490444 40.7734906649071, -73.97100318247699 40.773376074301574, -73.9711189452262 40.77340168666348, -73.97112673388953 40.773403409476494, -73.97108442744485 40.773518193177466, -73.97107261777953 40.77355630039647))"
,,,"B",,,"2020-08-12T21:58:05.000","B169","B169-ZN04B","B-13","Active","B169-ZN04B-BLG9587","POLYGON ((-73.97588406421181 40.57347824663402, -73.97582856666088 40.573484674621234, -73.97580080776558 40.57332837463582, -73.97585526329169 40.57332271999356, -73.97587147840903 40.5734132639406, -73.97591459900443 40.57341089020146, -73.975908384672 40.573316060060286, -73.97596442162468 40.573316626521596, -73.97597464807919 40.57347636640803, -73.97591918496138 40.573475758647895, -73.97591632971866 40.57343219067158, -73.97587621238826 40.573434399345544, -73.97588406421181 40.57347824663402))"
,,,"B",,,"2020-08-12T21:58:05.000","B169","B169-ZN04A","B-13","Active","B169-ZN04A-BLG9586","POLYGON ((-73.97156714759464 40.57390734890736, -73.97160770853978 40.57390161179166, -73.97159528269589 40.57385054087432, -73.97164972333948 40.573842839528716, -73.9716850400656 40.57397227252451, -73.97162966864904 40.57398010513353, -73.97161339594581 40.57391321825674, -73.97157234721851 40.57391902459414, -73.97159496015307 40.57398693513992, -73.97154527220064 40.57399893133777, -73.97149294493119 40.5738720956947, -73.97154929263831 40.573859441984986, -73.97156714759464 40.57390734890736))"
"2020-05-12T14:42:22.000","2020-06-21T00:00:00.000","2114815","X","Completely Locked","1117734","2020-08-12T21:58:05.000","X232","X232","X-11","Reopened","X232-BLG9192","POLYGON ((-73.83657559412609 40.862976768735926, -73.83657958391333 40.862909321292925, -73.83665286796443 40.862911819471094, -73.83664887824918 40.86297926781707, -73.83657559412609 40.862976768735926))"
"2020-05-12T14:42:21.000","2020-06-21T00:00:00.000","2128993","X","Completely Locked","1283800","2020-08-12T21:58:05.000","X204","X204","X-09","Reopened","X204-BLG9190","POLYGON ((-73.86317619047993 40.823007273832246, -73.8631149180963 40.82306199995143, -73.86309492300796 40.8230480032035, -73.86307809992003 40.823031776986255, -73.86306487355016 40.823013730631, -73.86305557961298 40.82299432018904, -73.86305045061981 40.82297403670833, -73.86304961827945 40.82295339182812, -73.86305310166657 40.8229329069588, -73.86306081436109 40.82291310068365, -73.86307256092343 40.82289447344598, -73.86308804403369 40.822877494950994, -73.86315739384152 40.822920645336715, -73.86315063193385 40.82293004480331, -73.8631460058287 40.82294016359986, -73.86314364175175 40.82295072362291, -73.86314360668275 40.82296143499206, -73.86314590004322 40.82297200324413, -73.86315045841498 40.8229821401447, -73.86315715909498 40.82299156459287, -73.86316581531617 40.823000020625486, -73.86317619047993 40.823007273832246))"
,,"2127309","X",,"1216673","2020-08-12T21:58:04.000","X092","X092-26","X-13","Active","X092-26-BLG9186","POLYGON ((-73.88145859226493 40.88365696239284, -73.88165518182825 40.88361328970227, -73.8816863659073 40.88369414308917, -73.88148977612377 40.88373781673268, -73.88145859226493 40.88365696239284))"
,,"2128992","X",,"1283799","2020-08-12T21:58:04.000","X126","X126-ZN04","X-10","Active","X126-BLG8784","POLYGON ((-73.82625440117164 40.82021311685874, -73.8262417415916 40.820174064796404, -73.82621410336863 40.82017923612748, -73.826199413214 40.82013250335382, -73.82629624830247 40.82011438717184, -73.8263093114888 40.82015594772343, -73.82633608396091 40.820150938956296, -73.82635041688036 40.820195154282345, -73.82625440117164 40.82021311685874))"
"2020-05-12T14:42:17.000","2020-06-22T00:00:00.000","3422275","B","Completely Locked","1263763","2020-08-12T21:58:04.000","B232","B232","B-08","Reopened","B232-BLG8783","POLYGON ((-73.9727966953987 40.68060348316824, -73.97273379802971 40.68059018839621, -73.97276964134385 40.68049190934771, -73.9728325374448 40.68050520319953, -73.9727966953987 40.68060348316824))"
"2020-06-02T12:25:18.000",,"3425829","B","Officially Closed - Not Covid","1283798","2020-08-12T21:58:04.000","B125","B125-ZN02","B-13","UnderConstruction","B125-BLG8782","POLYGON ((-73.99238776181419 40.58512953721025, -73.99241392598611 40.58516233330699, -73.99230141236865 40.585214505759936, -73.99227524823158 40.58518170963771, -73.99238776181419 40.58512953721025))"
"2020-05-12T14:42:16.000","2020-06-23T00:00:00.000","3414987","B","Completely Locked","1186260","2020-08-12T21:58:04.000","B380","B380","B-05","Reopened","B380-BLG0001","POLYGON ((-73.86500042091873 40.67440597387019, -73.86499496994774 40.67440110738909, -73.86502860701913 40.674379263414664, -73.86505140162205 40.67436446135599, -73.86508603703675 40.67434196926368, -73.86509185164397 40.67434716035263, -73.8651507852509 40.674399772750775, -73.86505972287684 40.674458908231045, -73.86500042091873 40.67440597387019))"
"2020-05-12T14:42:15.000","2020-06-22T00:00:00.000","3415623","B","Completely Locked","1188293","2020-08-12T21:58:04.000","B148","B148","B-09","Reopened","B148-BLG8780","POLYGON ((-73.94745143998746 40.65566221096912, -73.94753222912887 40.65565674569088, -73.94753228903404 40.65565725270934, -73.94753634232833 40.655691933471715, -73.94745515463573 40.65569743639246, -73.94745104148791 40.65566223690206, -73.94745143998746 40.65566221096912))"
"2020-05-12T14:42:14.000","2020-06-22T00:00:00.000","3423330","B",,"1267699","2020-08-12T21:58:04.000","B057","B057-06","B-18","Reopened","B057-BLG8779","POLYGON ((-73.92093172812707 40.58960726345909, -73.92098058658945 40.58957704938373, -73.92104929152019 40.589641619122446, -73.92100043422394 40.58967183232717, -73.92093172812707 40.58960726345909))"
"2020-05-12T14:42:13.000","2020-06-21T00:00:00.000","3422314","B","Completely Locked","1271904","2020-08-12T21:58:04.000","B043","B043","B-01","Reopened","B043-BLG0001","POLYGON ((-73.95919913896995 40.7356133189314, -73.95935407667707 40.73559545541535, -73.95936715960603 40.735661110659684, -73.95921222293309 40.73567897509412, -73.95919913896995 40.7356133189314))"
,,"3424029","B",,"1271361","2020-08-12T21:58:03.000","B068","B073-ZN28","B-14","Active","B073-ZN28-BLG4029","POLYGON ((-73.96811814728301 40.6507995881508, -73.9682410579663 40.650752227920506, -73.96826551850664 40.65078905413142, -73.96814260895526 40.650836414387975, -73.96811814728301 40.6507995881508))"
,,"3425827","B",,"1283796","2020-08-12T21:58:03.000","BT15","BT15","B-07","Active","BT15-BLG0001","POLYGON ((-74.0192277730271 40.65342991574514, -74.01910845630977 40.653304426045594, -74.01920698566569 40.65325008593346, -74.01932630247111 40.653375575531626, -74.0192277730271 40.65342991574514))"
,,"1088267","M",,"1119388","2020-08-12T21:58:03.000","M104","M104-ZN02","M-11R","Active","M104-ZN01-BLG15891","POLYGON ((-73.91885895413861 40.79550531237322, -73.91889190061178 40.79548398380138, -73.91892601530323 40.795495806155465, -73.91895689308934 40.79554828650846, -73.91894699266871 40.79558369261706, -73.91892115916967 40.79560408788678, -73.91888102466444 40.795591608432474, -73.9188540052775 40.79554181876897, -73.91885895413861 40.79550531237322))"
,,"1088266","M",,"1119140","2020-08-12T21:58:03.000","M104","M104-ZN01","M-11R","Active","M104-ZN02-BLG16211","POLYGON ((-73.92385234842315 40.800504530995774, -73.9238773463604 40.800479412766194, -73.92391759773433 40.80048634797164, -73.92395519885133 40.800540484694345, -73.92395441235175 40.80057130286777, -73.92392882350086 40.80059502585021, -73.92389093858056 40.80058699720402, -73.92385145401904 40.80053744005715, -73.92385234842315 40.800504530995774))"
,,"1090515","M",,"1283795","2020-08-12T21:58:03.000","M399","M399","M-04","Active","M399-BLG0001","POLYGON ((-73.99977911167544 40.75628489928558, -73.99979448511853 40.75630326871853, -73.99980137128155 40.756322848414015, -73.99980124809512 40.756332156034965, -73.99979872094949 40.75634065769966, -73.99979388931897 40.7563480292262, -73.99978693794193 40.75635398515456, -73.9997781344523 40.75635829765706, -73.99976781635308 40.75636080194149, -73.99975638035826 40.75636139985329, -73.99974426581376 40.75636006978097, -73.9997198733273 40.756351900341585, -73.99969835141839 40.756337537230216, -73.9996829779939 40.75631916778448, -73.99967609186615 40.75629958808193, -73.99967621625412 40.7562902813616, -73.99967874222934 40.756281778799035, -73.9996835738678 40.75627440817773, -73.99969052524575 40.75626845135504, -73.99969932991338 40.756264138859194, -73.99970964800022 40.756261635481344, -73.99972108397832 40.75626103667365, -73.99973319732015 40.75626236764895, -73.99975758977546 40.75627053618512, -73.99977911167544 40.75628489928558))"
